fill,fill_start,sb_start,sb_dur,energy,b1_intensity_ssb,b2_intensity_ssb,b1_number_bunches,b2_number_bunches,b_number,b_norm_emitt,scheme,injection_schema,lumi_cms_peak,lumi_cms_delivered
5451,Wed Oct 26 2016 07:49:45 GMT+0200 (W. Europe Daylight Time),10:55,12:05,6499,2307.2,2335.07,p: 2220,Pb: 2220,2220,2.998359694,2208/1940/2036,25ns_2220b_2208_1940_2036_96bpi_24inj,13658.4,385388.8
5211,Wed Aug 17 2016 06:40:19 GMT+0200 (W. Europe Daylight Time),9:15,14:51,6499,2401.4,2364.65,p: 2220,Pb: 2220,2220,3.566703886,2208/1940/2036,25ns_2220b_2208_1940_2036_96bpi_24inj,11963.1,430926.8
