13502.3316,3.39E-10,5.70E-11,1.10E-09
13502.5716,2.90E-10,6.10E-11,9.60E-10
13510.3416,2.53E-11,1.00E-11,4.40E-11
13521.6816,2.22E-10,5.00E-11,6.10E-10
13521.9216,2.88E-10,6.00E-11,8.20E-10
13530.5516,1.30E-09,8.30E-10,2.10E-09
13530.8016,6.69E-10,6.00E-11,1.40E-09
13538.0916,5.71E-11,2.00E-11,1.00E-10
13553.5816,7.31E-10,6.30E-11,1.90E-09
13553.8216,4.76E-10,8.20E-11,1.50E-09
13562.4516,2.64E-09,1.60E-09,3.50E-09
13562.7016,5.62E-09,5.00E-11,1.30E-08
13575.2716,8.15E-11,2.60E-11,1.60E-10
13585.1116,1.26E-09,1.00E-10,3.30E-09
13585.3516,2.27E-10,6.20E-11,1.70E-09
13820.2716,1.64E-09,1.10E-09,2.30E-09
13873.7216,1.14E-09,1.00E-09,1.70E-09
13980.6216,1.14E-09,1.00E-09,1.70E-09
14408.2216,1.14E-09,1.00E-09,1.70E-09
14835.8216,1.14E-09,1.00E-09,1.70E-09
