Half Gap [mm], ecurrent_T3 [A] 
1.0,0.0 
2.0,0.0 
3.0,0.0 
4.0,0.0 
5.0,0.0 
6.0,0.0 
7.0,0.0 
8.0,0.0 
9.0,0.0 
10.0,0.0 
12.5,0.0 
15.0,0.0 
17.5,0.0 
20.0,0.0 
22.5,0.0 
25.0,0.0 
27.5,0.0 
30.0,5.96981928294e-12 
32.5,2.26586373867e-10 
35.0,2.25669229001e-08 
37.5,6.37293589954e-07 
40.0,2.68036658558e-05 
42.5,0.000210086807398 
45.0,0.000439919844464 
47.5,0.00037750346833 
50.0,0.000154773709581 
