Half Gap [mm], ecurrent_T3 [A] 
1.0,0.0 
2.0,0.0 
3.0,0.0 
4.0,0.0 
5.0,0.0 
6.0,0.0 
7.0,0.0 
8.0,0.0 
9.0,0.0 
10.0,0.0 
12.5,4.5608102423e-10 
15.0,4.74938373394e-06 
17.5,0.00151785093438 
20.0,0.00727840085776 
22.5,0.0132828100721 
25.0,0.0190830161863 
27.5,0.0244892901539 
30.0,0.02977125606 
32.5,0.0336512252626 
35.0,0.037043742645 
37.5,0.0399448235928 
40.0,0.0416018324918 
42.5,0.0424264208752 
45.0,0.0427234531085 
47.5,0.0427589939098 
50.0,0.044058165747 
