"H2_x","H2_y","CH4_x","CH4_y","CO_x","CO_y","CO2_x","CO2_y"
1e-06,4886.181641,1e-06,8939.719116,1e-06,10931.7384,1e-06,13002.20996,
32.1875,5037.514552,32.1875,14291.17861,32.1875,18012.01533,32.1875,46498.57398,
35.20625,5052.184572,35.20625,15133.47274,35.20625,19164.68269,35.20625,60913.49836,
38.225,5066.939388,38.225,16079.70614,38.225,20472.46958,38.225,88126.47371,
41.24375,5081.779734,41.24375,17150.36149,41.24375,21968.90923,41.24375,158773.9054,
44.2625,5096.706358,44.2625,18371.68133,44.2625,23697.95016,44.2625,787430.2909,
