x0000,y0000,x0001,y0001,x0002,y0002,x0003,y0003,x0004,y0004
1e-09,10.51316323,1e-09,10.96603455,1e-09,11.16888983,1e-09,11.54937354,1e-09,12.76795107,
0.061216001,10.51316419,0.061216001,10.96602674,0.061216001,11.16887994,0.061216001,11.54936155,0.061216001,12.76793828,
0.122432001,10.51316715,0.122432001,10.96600332,0.122432001,11.16885027,0.122432001,11.54932557,0.122432001,12.76789991,
0.183648001,10.51317225,0.183648001,10.96596435,0.183648001,11.16880087,0.183648001,11.54926563,0.183648001,12.76783596,
0.244864001,10.51317973,0.244864001,10.96590992,0.244864001,11.16873178,0.244864001,11.54918175,0.244864001,12.76774644,
0.306080001,10.51318996,0.306080001,10.96584017,0.306080001,11.16864309,0.306080001,11.54907396,0.306080001,12.76763134,
0.367296001,10.5132034,0.367296001,10.96575525,0.367296001,11.16853491,0.367296001,11.5489423,0.367296001,12.76749067,
0.428512001,10.51322065,0.428512001,10.9656554,0.428512001,11.16840738,0.428512001,11.54878683,0.428512001,12.76732442,
0.489728001,10.51324243,0.489728001,10.96554087,0.489728001,11.16826065,0.489728001,11.54860763,0.489728001,12.76713261,
0.550944001,10.51326959,0.550944001,10.96541198,0.550944001,11.16809494,0.550944001,11.54840477,0.550944001,12.76691523,
0.612160001,10.51330316,0.612160001,10.9652691,0.612160001,11.16791048,0.612160001,11.54817836,0.612160001,12.7666723,
0.673376001,10.51334432,0.673376001,10.96511268,0.673376001,11.16770755,0.673376001,11.54792851,0.673376001,12.76640384,
0.734592001,10.51339447,0.734592001,10.96494323,0.734592001,11.16748648,0.734592001,11.54765537,0.734592001,12.76610984,
0.795808001,10.51345519,0.795808001,10.96476134,0.795808001,11.16724764,0.795808001,11.5473591,0.795808001,12.76579034,
0.857024001,10.51352834,0.857024001,10.9645677,0.857024001,11.16699148,0.857024001,11.54703989,0.857024001,12.76544535,
0.918240001,10.51361602,0.918240001,10.96436309,0.918240001,11.1667185,0.918240001,11.54669797,0.918240001,12.7650749,
0.979456001,10.51372065,0.979456001,10.96414844,0.979456001,11.16642929,0.979456001,11.54633359,0.979456001,12.76467905,
1.040672001,10.513845,1.040672001,10.96392477,1.040672001,11.16612451,1.040672001,11.54594705,1.040672001,12.76425782,
1.101888001,10.51399223,1.101888001,10.96369329,1.101888001,11.16580495,1.101888001,11.54553871,1.101888001,12.76381128,
1.163104001,10.51416594,1.163104001,10.96345535,1.163104001,11.16547147,1.163104001,11.54510895,1.163104001,12.76333949,
1.224320001,10.51437021,1.224320001,10.96321252,1.224320001,11.16512511,1.224320001,11.54465825,1.224320001,12.76284255,
1.285536001,10.51460973,1.285536001,10.96296659,1.285536001,11.16476701,1.285536001,11.54418714,1.285536001,12.76232055,
1.346752001,10.51488978,1.346752001,10.96271958,1.346752001,11.1643985,1.346752001,11.54369622,1.346752001,12.76177361,
1.407968001,10.5152164,1.407968001,10.96247383,1.407968001,11.1640211,1.407968001,11.54318621,1.407968001,12.76120188,
1.469184001,10.51559641,1.469184001,10.96223198,1.469184001,11.16363656,1.469184001,11.54265791,1.469184001,12.76060553,
1.530400001,10.51603759,1.530400001,10.96199706,1.530400001,11.16324684,1.530400001,11.54211226,1.530400001,12.75998476,
1.591616001,10.51654873,1.591616001,10.96177251,1.591616001,11.16285422,1.591616001,11.54155032,1.591616001,12.75933981,
1.652832001,10.51713979,1.652832001,10.96156226,1.652832001,11.16246128,1.652832001,11.54097331,1.652832001,12.75867095,
1.714048001,10.51782206,1.714048001,10.96137078,1.714048001,11.16207098,1.714048001,11.54038266,1.714048001,12.75797851,
1.775264001,10.5186083,1.775264001,10.96120317,1.775264001,11.16168668,1.775264001,11.53977995,1.775264001,12.75726287,
1.836480001,10.51951292,1.836480001,10.96106521,1.836480001,11.16131222,1.836480001,11.53916705,1.836480001,12.75652448,
1.897696001,10.52055219,1.897696001,10.9609635,1.897696001,11.16095199,1.897696001,11.53854606,1.897696001,12.75576384,
1.958912001,10.52174445,1.958912001,10.96090552,1.958912001,11.16061098,1.958912001,11.5379194,1.958912001,12.75498157,
2.020128001,10.52311034,2.020128001,10.96089979,2.020128001,11.16029487,2.020128001,11.53728983,2.020128001,12.75417834,
2.081344001,10.52467306,2.081344001,10.96095597,2.081344001,11.16001013,2.081344001,11.53666052,2.081344001,12.75335496,
2.142560001,10.52645862,2.142560001,10.96108504,2.142560001,11.15976414,2.142560001,11.53603509,2.142560001,12.75251236,
2.203776001,10.52849615,2.203776001,10.96129941,2.203776001,11.15956528,2.203776001,11.53541765,2.203776001,12.7516516,
2.264992001,10.53081818,2.264992001,10.96161317,2.264992001,11.15942306,2.264992001,11.53481292,2.264992001,12.75077392,
