x0000,y0000,x0001,y0001,x0002,y0002,x0003,y0003,x0004,y0004
1e-09,3.897132345,1e-09,3.897132345,1e-09,3.947942792,1e-09,4.076613338,1e-09,4.844521613,
0.012000001,3.926547165,0.012000001,3.926547165,0.012000001,3.975879731,0.012000001,4.104846711,0.012000001,4.873565441,
0.024000001,3.953889172,0.024000001,3.953889172,0.024000001,4.001940609,0.024000001,4.131204796,0.024000001,4.900725605,
0.036000001,3.979416782,0.036000001,3.979416782,0.036000001,4.026348786,0.036000001,4.155910382,0.036000001,4.926225185,
0.048000001,4.003342731,0.048000001,4.003342731,0.048000001,4.049289835,0.048000001,4.179148596,0.048000001,4.950249534,
0.060000001,4.025844307,0.060000001,4.025844307,0.060000001,4.070919608,0.060000001,4.201074939,0.060000001,4.972954339,
0.072000001,4.047070789,0.072000001,4.047070789,0.072000001,4.091370264,0.072000001,4.221821286,0.072000001,4.994471626,
0.084000001,4.067149028,0.084000001,4.067149028,0.084000001,4.110754836,0.084000001,4.241500441,0.084000001,5.014914328,
0.096000001,4.086187748,0.096000001,4.086187748,0.096000001,4.129170754,0.096000001,4.260209645,0.096000001,5.034379792,
0.108000001,4.104280877,0.108000001,4.104280877,0.108000001,4.146702586,0.108000001,4.278033312,0.108000001,5.052952525,
0.120000001,4.121510034,0.120000001,4.121510034,0.120000001,4.16342421,0.120000001,4.295045192,0.120000001,5.070706354,
0.132000001,4.137946655,0.132000001,4.137946655,0.132000001,4.179400541,0.132000001,4.311310087,0.132000001,5.087706155,
0.144000001,4.153653571,0.144000001,4.153653571,0.144000001,4.194688919,0.144000001,4.32688525,0.144000001,5.10400924,
0.156000001,4.168686389,0.156000001,4.168686389,0.156000001,4.209340251,0.156000001,4.341821507,0.156000001,5.119666491,
0.168000001,4.183094509,0.168000001,4.183094509,0.168000001,4.223399931,0.168000001,4.356164185,0.168000001,5.134723285,
0.180000001,4.196922045,0.180000001,4.196922045,0.180000001,4.236908611,0.180000001,4.369953878,0.180000001,5.149220261,
0.192000001,4.2143615,0.192000001,4.2143615,0.192000001,4.249902862,0.192000001,4.383227083,0.192000001,5.163193959,
0.204000001,4.227022636,0.204000001,4.227022636,0.204000001,4.262415606,0.204000001,4.396016731,0.204000001,5.176677344,
0.216000001,4.239218155,0.216000001,4.239218155,0.216000001,4.274476723,0.216000001,4.408352637,0.216000001,5.18970027,
0.228000001,4.250976433,0.228000001,4.250976433,0.228000001,4.286113328,0.228000001,4.420261883,0.228000001,5.202289849,
0.240000001,4.262323332,0.240000001,4.262323332,0.240000001,4.297350119,0.240000001,4.431769137,0.240000001,5.214470782,
0.252000001,4.273282418,0.252000001,4.273282418,0.252000001,4.308209655,0.252000001,4.442896935,0.252000001,5.226265634,
0.264000001,4.283875238,0.264000001,4.283875238,0.264000001,4.3187126,0.264000001,4.453665916,0.264000001,5.23769507,
0.276000001,4.294121581,0.276000001,4.294121581,0.276000001,4.328877924,0.276000001,4.464095032,0.276000001,5.248778069,
0.288000001,4.304039628,0.288000001,4.304039628,0.288000001,4.338723087,0.288000001,4.474201722,0.288000001,5.259532095,
0.300000001,4.313646099,0.300000001,4.313646099,0.300000001,4.348264189,0.300000001,4.484002074,0.300000001,5.269973259,
0.312000001,4.322956469,0.312000001,4.322956469,0.312000001,4.357516114,0.312000001,4.493510955,0.312000001,5.280116452,
0.324000001,4.331985048,0.324000001,4.331985048,0.324000001,4.366492642,0.324000001,4.502742134,0.324000001,5.289975464,
0.336000001,4.3407451,0.336000001,4.3407451,0.336000001,4.375206562,0.336000001,4.511708388,0.336000001,5.299563092,
0.348000001,4.349248907,0.348000001,4.349248907,0.348000001,4.383669758,0.348000001,4.52042159,0.348000001,5.308891232,
0.360000001,4.357507943,0.360000001,4.357507943,0.360000001,4.391893295,0.360000001,4.528892798,0.360000001,5.317970959,
0.372000001,4.365532877,0.372000001,4.365532877,0.372000001,4.399887494,0.372000001,4.537132323,0.372000001,5.326812604,
0.384000001,4.37619044,0.384000001,4.37619044,0.384000001,4.407662008,0.384000001,4.545149795,0.384000001,5.335425817,
0.396000001,4.383727102,0.396000001,4.383727102,0.396000001,4.41522582,0.396000001,4.552954223,0.396000001,5.343819622,
0.408000001,4.391059812,0.408000001,4.391059812,0.408000001,4.422587392,0.408000001,4.560554045,0.408000001,5.352002477,
0.420000001,4.398196583,0.420000001,4.398196583,0.420000001,4.429754643,0.420000001,4.567957177,0.420000001,5.359982314,
0.432000001,4.405144983,0.432000001,4.405144983,0.432000001,4.436735012,0.432000001,4.575171052,0.432000001,5.367766582,
0.444000001,4.411912103,0.444000001,4.411912103,0.444000001,4.443535494,0.444000001,4.58220266,0.444000001,5.375362289,
0.456000001,4.418504597,0.456000001,4.418504597,0.456000001,4.450162674,0.456000001,4.589058583,0.456000001,5.38277603,
