"H2_x","H2_y","CH4_x","CH4_y","CO_x","CO_y","CO2_x","CO2_y"
1e-06,4886.183594,1e-06,8939.718506,1e-06,10931.73853,1e-06,13002.20984,
63.375,5035.092869,63.375,14160.5201,63.375,17834.16869,63.375,44740.96569,
69.5125,5049.992377,69.5125,15001.7572,69.5125,18983.72366,69.5125,58227.13126,
75.65,5064.979399,75.65,15947.66946,75.65,20289.15652,75.65,83209.28532,
81.7875,5080.054707,81.7875,17019.06775,81.7875,21784.43885,81.7875,145293.7728,
87.925,5095.219084,87.925,18242.6708,87.925,23514.18627,87.925,565380.4168,
