DOSe/cm2,H2,CH4,CO,CO2
2.87E+12,0.05711,0.00162,0.01041,0.00782
1.28E+14,0.05494,0.00149,0.00987,0.00713
2.52E+14,0.04795,0.00128,0.00968,0.0066
3.76E+14,0.04364,0.00119,0.00927,0.00631
5.01E+14,0.04022,0.00112,0.00891,0.00602
6.20E+14,0.0375,0.00104,0.00864,0.0058
7.43E+14,0.03553,9.87E-04,0.00831,0.00563
8.66E+14,0.03356,9.50E-04,0.00813,0.00546
9.89E+14,0.03206,9.13E-04,0.00788,0.00528
1.11E+15,0.03098,8.51E-04,0.00774,0.00516
1.23E+15,0.02964,8.50E-04,0.00759,0.00508
1.35E+15,0.02858,8.26E-04,0.0074,0.00494
1.48E+15,0.02754,7.86E-04,0.00727,0.00485
1.60E+15,0.0268,7.54E-04,0.00714,0.00475
1.72E+15,0.02593,7.40E-04,0.00696,0.00471
1.84E+15,0.02521,7.30E-04,0.00691,0.00457
1.97E+15,0.02478,7.00E-04,0.0068,0.0045
2.09E+15,0.02409,6.70E-04,0.00667,0.00442
2.21E+15,0.02352,6.76E-04,0.0066,0.00438
2.34E+15,0.02298,6.40E-04,0.00656,0.00432
2.46E+15,0.02256,6.43E-04,0.00647,0.00423
2.58E+15,0.02192,6.39E-04,0.00638,0.00417
2.71E+15,0.02171,6.18E-04,0.00631,0.00415
2.83E+15,0.02112,6.10E-04,0.00618,0.0041
2.96E+15,0.02086,5.96E-04,0.00617,0.00402
3.08E+15,0.02046,5.91E-04,0.00614,0.004
3.20E+15,0.02018,5.66E-04,0.00606,0.00399
3.33E+15,0.01986,5.57E-04,0.00603,0.00388
3.45E+15,0.01955,5.54E-04,0.00589,0.00389
3.58E+15,0.01925,5.56E-04,0.00587,0.00386
3.70E+15,0.01903,5.45E-04,0.00582,0.00378
3.82E+15,0.01883,5.35E-04,0.0057,0.00377
3.95E+15,0.01863,5.28E-04,0.00574,0.00374
4.07E+15,0.01829,5.20E-04,0.00565,0.00372
4.20E+15,0.0181,5.28E-04,0.00557,0.00371
4.32E+15,0.01791,5.22E-04,0.00557,0.00367
4.44E+15,0.01765,5.00E-04,0.00552,0.00362
4.57E+15,0.01749,5.02E-04,0.00555,0.00356
4.69E+15,0.01727,5.05E-04,0.00544,0.00355
4.81E+15,0.01716,4.87E-04,0.00543,0.00353
4.94E+15,0.01681,4.81E-04,0.00538,0.00347
5.06E+15,0.01655,4.78E-04,0.00537,0.00347
5.18E+15,0.01643,4.60E-04,0.00522,0.00345
5.30E+15,0.01629,4.62E-04,0.00526,0.00342
5.43E+15,0.01611,4.53E-04,0.00519,0.00336
5.55E+15,0.01592,4.46E-04,0.00522,0.00337
5.67E+15,0.01588,4.48E-04,0.00513,0.00333
5.79E+15,0.01558,4.46E-04,0.00517,0.00332
5.91E+15,0.01542,4.51E-04,0.0051,0.00331
6.04E+15,0.01541,4.38E-04,0.00506,0.00329
6.16E+15,0.01524,4.26E-04,0.00502,0.00327
6.28E+15,0.01518,4.36E-04,0.00502,0.00322
6.41E+15,0.015,4.22E-04,0.00494,0.00324
6.53E+15,0.01488,4.18E-04,0.00496,0.00316
6.65E+15,0.01481,4.28E-04,0.00491,0.00319
6.77E+15,0.01467,4.22E-04,0.00484,0.00312
6.89E+15,0.01458,4.13E-04,0.00481,0.00313
7.02E+15,0.01434,4.09E-04,0.00479,0.00309
7.14E+15,0.01433,4.04E-04,0.00479,0.0031
7.27E+15,0.0142,3.98E-04,0.00477,0.00307
7.39E+15,0.01412,4.08E-04,0.00475,0.00301
7.52E+15,0.01393,3.88E-04,0.0047,0.00304
7.64E+15,0.01392,3.87E-04,0.00463,0.00301
7.77E+15,0.01377,3.77E-04,0.00468,0.003
7.88E+15,0.01361,3.87E-04,0.00462,0.00301
8.01E+15,0.01351,3.80E-04,0.0046,0.00297
8.13E+15,0.01339,3.76E-04,0.00461,0.00294
8.26E+15,0.0134,3.78E-04,0.00459,0.00294
8.38E+15,0.01327,3.77E-04,0.00455,0.00292
8.51E+15,0.01313,3.83E-04,0.00452,0.00294
8.63E+15,0.01305,3.69E-04,0.00449,0.0029
8.75E+15,0.013,3.71E-04,0.00455,0.00289
8.87E+15,0.01286,3.71E-04,0.00448,0.0029
9.00E+15,0.01283,3.63E-04,0.00448,0.00283
9.12E+15,0.01271,3.57E-04,0.00445,0.00283
9.24E+15,0.01271,3.69E-04,0.00444,0.00281
9.36E+15,0.01245,3.54E-04,0.00443,0.00282
9.48E+15,0.01245,3.57E-04,0.00435,0.00281
1.02E+16,0.01169,2.97E-04,0.00332,0.00231
1.10E+16,0.01123,3.01E-04,0.00336,0.0024
1.17E+16,0.01075,2.90E-04,0.00332,0.00236
1.24E+16,0.01044,2.81E-04,0.00331,0.00231
1.32E+16,0.01009,2.78E-04,0.00331,0.0023
1.39E+16,0.00984,2.61E-04,0.00326,0.00221
1.46E+16,0.0096,2.64E-04,0.00322,0.00215
1.53E+16,0.00935,2.57E-04,0.00318,0.00214
1.61E+16,0.00916,2.49E-04,0.00314,0.0021
1.68E+16,0.00892,2.44E-04,0.0031,0.00205
1.76E+16,0.00875,2.37E-04,0.00305,0.00202
1.83E+16,0.00858,2.32E-04,0.00302,0.00198
1.91E+16,0.00841,2.29E-04,0.00297,0.00195
1.98E+16,0.00823,2.24E-04,0.00293,0.00192
2.05E+16,0.00806,2.16E-04,0.0029,0.00189
2.13E+16,0.00795,2.17E-04,0.00287,0.00187
2.20E+16,0.00781,2.11E-04,0.00284,0.00184
2.28E+16,0.00766,2.07E-04,0.00281,0.0018
2.35E+16,0.00753,2.04E-04,0.00278,0.00177
2.43E+16,0.0074,2.00E-04,0.00275,0.00174
2.50E+16,0.00729,1.96E-04,0.0027,0.00174
2.57E+16,0.00715,1.98E-04,0.00269,0.00168
2.65E+16,0.00705,1.92E-04,0.00265,0.00167
2.72E+16,0.00694,1.94E-04,0.00261,0.00164
2.79E+16,0.00683,1.87E-04,0.00257,0.00163
2.87E+16,0.00674,1.86E-04,0.00255,0.0016
2.94E+16,0.00661,1.83E-04,0.00253,0.00159
3.02E+16,0.00653,1.78E-04,0.0025,0.00157
3.09E+16,0.00644,1.76E-04,0.00247,0.00153
3.16E+16,0.00637,1.73E-04,0.00244,0.00152
3.24E+16,0.00626,1.75E-04,0.00243,0.0015
3.31E+16,0.00619,1.70E-04,0.00239,0.00148
3.38E+16,0.00612,1.66E-04,0.00239,0.00147
3.46E+16,0.00603,1.63E-04,0.00231,0.00145
3.53E+16,0.00597,1.65E-04,0.0023,0.00142
3.61E+16,0.00589,1.60E-04,0.0023,0.00141
3.68E+16,0.00581,1.55E-04,0.00229,0.00139
3.76E+16,0.00573,1.56E-04,0.00224,0.00137
3.83E+16,0.00566,1.56E-04,0.00224,0.00136
3.91E+16,0.00562,1.52E-04,0.00223,0.00135
3.98E+16,0.00555,1.51E-04,0.00221,0.00134
4.05E+16,0.0055,1.49E-04,0.00218,0.00133
4.13E+16,0.00544,1.47E-04,0.00218,0.00132
4.20E+16,0.0054,1.48E-04,0.00215,0.00131
4.28E+16,0.00533,1.47E-04,0.00215,0.00128
4.35E+16,0.00528,1.41E-04,0.00213,0.00126
4.42E+16,0.00521,1.40E-04,0.0021,0.00126
4.50E+16,0.00518,1.38E-04,0.00208,0.00125
4.57E+16,0.0051,1.36E-04,0.00207,0.00124
4.65E+16,0.00508,1.40E-04,0.00203,0.00123
4.72E+16,0.00504,1.33E-04,0.00203,0.00122
4.79E+16,0.00498,1.34E-04,0.00202,0.0012
4.86E+16,0.00491,1.36E-04,0.002,0.00119
4.94E+16,0.00492,1.32E-04,0.00198,0.00118
5.01E+16,0.00485,1.28E-04,0.00196,0.00117
5.09E+16,0.00477,1.22E-04,0.00195,0.00116
5.16E+16,0.00481,1.25E-04,0.00194,0.00116
5.23E+16,0.00472,1.27E-04,0.00193,0.00114
5.31E+16,0.0047,1.24E-04,0.00193,0.00113
5.38E+16,0.00464,1.28E-04,0.0019,0.00112
5.46E+16,0.00461,1.22E-04,0.00188,0.00112
5.53E+16,0.00458,1.21E-04,0.00189,0.00111
5.60E+16,0.00454,1.19E-04,0.00186,0.0011
5.68E+16,0.00452,1.22E-04,0.00188,0.0011
5.75E+16,0.0045,1.22E-04,0.00186,0.00109
5.83E+16,0.00447,1.20E-04,0.00184,0.0011
5.90E+16,0.00444,1.19E-04,0.00182,0.00106
5.97E+16,0.00439,1.16E-04,0.00183,0.00106
6.05E+16,0.00436,1.15E-04,0.0018,0.00106
6.12E+16,0.00433,1.14E-04,0.0018,0.00105
6.19E+16,0.00431,1.13E-04,0.00176,0.00105
6.27E+16,0.00428,1.12E-04,0.00179,0.00104
6.34E+16,0.00424,1.16E-04,0.00176,0.00103
6.42E+16,0.00421,1.11E-04,0.00177,0.00103
6.49E+16,0.00417,1.11E-04,0.00174,0.00102
6.56E+16,0.00414,1.11E-04,0.00173,0.001
6.64E+16,0.00413,1.09E-04,0.00174,0.00101
6.71E+16,0.00411,1.08E-04,0.00172,0.00101
6.79E+16,0.00406,1.09E-04,0.00172,0.001
6.86E+16,0.00404,1.09E-04,0.00171,9.76E-04
6.93E+16,0.00401,1.06E-04,0.0017,9.86E-04
7.01E+16,0.00399,1.07E-04,0.00167,9.88E-04
7.08E+16,0.00396,1.05E-04,0.00167,9.80E-04
7.15E+16,0.00394,1.05E-04,0.00166,9.78E-04
7.22E+16,0.00389,1.04E-04,0.00165,9.59E-04
7.30E+16,0.00388,1.05E-04,0.00165,9.54E-04
7.37E+16,0.00384,1.04E-04,0.00163,9.47E-04
7.45E+16,0.00385,1.01E-04,0.00163,9.34E-04
7.52E+16,0.00383,1.01E-04,0.00162,9.33E-04
7.59E+16,0.0038,9.94E-05,0.00161,9.27E-04
7.66E+16,0.00378,9.94E-05,0.00161,9.25E-04
7.73E+16,0.00376,1.01E-04,0.0016,9.22E-04
7.81E+16,0.00373,9.89E-05,0.0016,9.20E-04
7.88E+16,0.00371,9.60E-05,0.00159,9.24E-04
7.96E+16,0.00369,9.86E-05,0.00157,9.12E-04
8.03E+16,0.00367,9.61E-05,0.00157,9.01E-04
8.10E+16,0.00365,9.66E-05,0.00156,8.95E-04
8.18E+16,0.00362,9.57E-05,0.00156,9.00E-04
8.25E+16,0.00362,9.55E-05,0.00155,8.91E-04
8.33E+16,0.00358,9.53E-05,0.00155,8.88E-04
8.40E+16,0.00357,9.46E-05,0.00153,8.85E-04
8.47E+16,0.00356,9.28E-05,0.00153,8.81E-04
8.54E+16,0.00353,9.48E-05,0.00152,8.75E-04
8.62E+16,0.00351,9.38E-05,0.00151,8.68E-04
8.69E+16,0.0035,9.37E-05,0.00151,8.68E-04
8.76E+16,0.00349,9.24E-05,0.00149,8.57E-04
8.84E+16,0.00348,9.06E-05,0.0015,8.56E-04
8.91E+16,0.00345,9.28E-05,0.00148,8.46E-04
8.99E+16,0.00344,8.86E-05,0.00148,8.43E-04
9.06E+16,0.0034,8.67E-05,0.00147,8.46E-04
9.13E+16,0.00339,9.05E-05,0.00147,8.38E-04
9.20E+16,0.00335,8.98E-05,0.00146,8.38E-04
9.28E+16,0.00335,8.70E-05,0.00145,8.31E-04
9.35E+16,0.00333,8.59E-05,0.00145,8.23E-04
9.43E+16,0.00333,8.84E-05,0.00146,8.22E-04
9.50E+16,0.00333,8.57E-05,0.00142,8.16E-04
9.57E+16,0.00325,8.63E-05,0.00142,8.12E-04
9.64E+16,0.00328,8.59E-05,0.00144,8.10E-04
9.72E+16,0.0033,8.51E-05,0.00143,8.10E-04
9.79E+16,0.00329,8.47E-05,0.00141,8.12E-04
9.86E+16,0.00323,8.23E-05,0.00141,7.91E-04
9.94E+16,0.00324,8.38E-05,0.00141,8.03E-04
1.00E+17,0.00325,8.41E-05,0.0014,7.87E-04
1.01E+17,0.00321,8.09E-05,0.0014,7.88E-04
1.02E+17,0.00319,8.33E-05,0.00139,7.86E-04
1.02E+17,0.00318,8.28E-05,0.00138,7.83E-04
1.03E+17,0.00314,8.12E-05,0.00138,7.82E-04
1.04E+17,0.00314,7.99E-05,0.00137,7.80E-04
1.04E+17,0.00311,8.26E-05,0.00137,7.75E-04
1.05E+17,0.0031,8.16E-05,0.00137,7.72E-04
1.06E+17,0.0031,8.01E-05,0.00135,7.71E-04
1.07E+17,0.00309,7.93E-05,0.00134,7.63E-04
1.07E+17,0.00309,8.01E-05,0.00134,7.62E-04
1.08E+17,0.00304,7.77E-05,0.00134,7.60E-04
1.09E+17,0.00304,7.86E-05,0.00133,7.59E-04
1.10E+17,0.00303,7.83E-05,0.00133,7.50E-04
1.10E+17,0.00302,7.84E-05,0.00133,7.58E-04
1.11E+17,0.00302,7.52E-05,0.00132,7.46E-04
1.12E+17,0.003,7.83E-05,0.00133,7.42E-04
1.13E+17,0.003,7.76E-05,0.00131,7.43E-04
1.13E+17,0.003,7.49E-05,0.00131,7.48E-04
1.14E+17,0.00296,7.71E-05,0.00131,7.43E-04
1.15E+17,0.00295,7.71E-05,0.0013,7.35E-04
1.15E+17,0.00295,7.70E-05,0.0013,7.29E-04
1.16E+17,0.00293,7.47E-05,0.00129,7.34E-04
1.17E+17,0.00292,7.21E-05,0.00129,7.20E-04
1.18E+17,0.00291,7.55E-05,0.00128,7.20E-04
1.18E+17,0.0029,7.62E-05,0.00128,7.18E-04
1.19E+17,0.00291,7.12E-05,0.00127,7.12E-04
1.20E+17,0.00289,7.43E-05,0.00127,7.17E-04
1.21E+17,0.00288,7.51E-05,0.00127,7.19E-04
1.21E+17,0.00287,7.40E-05,0.00127,7.12E-04
1.22E+17,0.00285,7.34E-05,0.00126,7.08E-04
1.23E+17,0.00287,7.22E-05,0.00127,7.05E-04
1.23E+17,0.00285,7.19E-05,0.00126,6.97E-04
1.24E+17,0.00283,7.25E-05,0.00126,7.11E-04
1.25E+17,0.00282,7.39E-05,0.00125,7.04E-04
1.26E+17,0.00281,7.12E-05,0.00125,6.98E-04
1.26E+17,0.0028,6.99E-05,0.00125,6.94E-04
1.27E+17,0.00279,7.10E-05,0.00123,6.98E-04
1.28E+17,0.00279,6.95E-05,0.00123,6.98E-04
1.29E+17,0.00277,7.02E-05,0.00123,6.90E-04
1.29E+17,0.00276,7.03E-05,0.00123,6.88E-04
1.30E+17,0.00277,6.52E-05,0.00123,6.79E-04
1.31E+17,0.00274,6.71E-05,0.00122,6.78E-04
1.32E+17,0.00274,6.97E-05,0.00121,6.71E-04
1.32E+17,0.00273,6.77E-05,0.00121,6.76E-04
1.33E+17,0.00273,6.91E-05,0.00121,6.80E-04
1.34E+17,0.00272,6.88E-05,0.00122,6.72E-04
1.34E+17,0.00271,6.89E-05,0.00121,6.69E-04
1.35E+17,0.00271,6.52E-05,0.0012,6.66E-04
1.36E+17,0.00268,6.63E-05,0.00119,6.59E-04
1.37E+17,0.00268,6.70E-05,0.00119,6.67E-04
1.37E+17,0.00266,6.91E-05,0.00119,6.62E-04
1.38E+17,0.00266,6.53E-05,0.00117,6.57E-04
1.39E+17,0.00266,6.86E-05,0.00119,6.62E-04
1.40E+17,0.00264,6.78E-05,0.00118,6.57E-04
1.40E+17,0.00264,6.70E-05,0.00118,6.57E-04
1.41E+17,0.00262,6.63E-05,0.00117,6.54E-04
1.42E+17,0.00261,6.43E-05,0.00116,6.53E-04
1.42E+17,0.00261,6.54E-05,0.00115,6.51E-04
1.43E+17,0.00261,6.48E-05,0.00117,6.43E-04
1.44E+17,0.00259,6.44E-05,0.00115,6.45E-04
1.45E+17,0.00257,6.50E-05,0.00115,6.44E-04
1.45E+17,0.00258,6.43E-05,0.00115,6.41E-04
1.46E+17,0.00257,6.50E-05,0.00115,6.38E-04
1.47E+17,0.00256,6.13E-05,0.00114,6.35E-04
1.48E+17,0.00255,6.59E-05,0.00114,6.41E-04
1.48E+17,0.00254,6.43E-05,0.00114,6.33E-04
1.49E+17,0.00253,6.40E-05,0.00114,6.36E-04
1.50E+17,0.00252,6.33E-05,0.00112,6.23E-04
1.50E+17,0.00252,6.34E-05,0.00113,6.32E-04
1.51E+17,0.00252,6.33E-05,0.00111,6.33E-04
1.52E+17,0.00252,6.13E-05,0.00113,6.17E-04
1.53E+17,0.00252,6.05E-05,0.00112,6.19E-04
1.53E+17,0.00249,6.29E-05,0.00112,6.18E-04
1.54E+17,0.00249,6.13E-05,0.00113,6.27E-04
1.55E+17,0.00249,6.07E-05,0.00111,6.11E-04
1.55E+17,0.00248,6.03E-05,0.00112,6.09E-04
1.56E+17,0.00246,6.22E-05,0.00111,6.21E-04
1.57E+17,0.00248,6.07E-05,0.0011,6.05E-04
1.58E+17,0.00246,5.91E-05,0.0011,6.09E-04
1.58E+17,0.00247,5.98E-05,0.0011,6.09E-04
1.59E+17,0.00245,5.86E-05,0.0011,6.22E-04
1.60E+17,0.00243,6.00E-05,0.0011,6.10E-04
1.61E+17,0.00242,6.10E-05,0.00109,6.01E-04
1.61E+17,0.00243,6.00E-05,0.00109,6.19E-04
1.62E+17,0.00242,6.10E-05,0.00109,6.17E-04
1.63E+17,0.00241,6.23E-05,0.0011,6.02E-04
1.63E+17,0.00242,6.08E-05,0.00109,6.06E-04
1.64E+17,0.00241,6.04E-05,0.00108,6.08E-04
1.65E+17,0.00239,5.90E-05,0.00109,6.10E-04
1.66E+17,0.00239,6.04E-05,0.00108,6.05E-04
1.66E+17,0.00238,5.94E-05,0.00108,6.07E-04
1.67E+17,0.00238,5.95E-05,0.00107,5.92E-04
1.68E+17,0.00236,5.92E-05,0.00107,5.97E-04
1.68E+17,0.00236,5.76E-05,0.00107,5.91E-04
1.69E+17,0.00236,5.87E-05,0.00107,5.96E-04
1.70E+17,0.00235,5.88E-05,0.00106,6.00E-04
1.71E+17,0.00235,5.89E-05,0.00106,5.90E-04
1.71E+17,0.00233,5.99E-05,0.00105,5.88E-04
1.72E+17,0.00235,5.81E-05,0.00106,5.88E-04
1.73E+17,0.00232,5.82E-05,0.00104,5.86E-04
1.74E+17,0.00233,5.79E-05,0.00106,5.95E-04
1.74E+17,0.00233,5.55E-05,0.00105,5.82E-04
1.75E+17,0.00233,5.85E-05,0.00106,5.78E-04
1.76E+17,0.00231,6.05E-05,0.00106,5.82E-04
1.77E+17,0.00229,5.61E-05,0.00105,5.86E-04
1.77E+17,0.00229,5.78E-05,0.00107,5.81E-04
1.78E+17,0.00227,5.68E-05,0.00104,5.82E-04
1.79E+17,0.00227,5.78E-05,0.00103,5.75E-04
1.79E+17,0.00229,5.62E-05,0.00104,5.82E-04
1.80E+17,0.00229,5.71E-05,0.00103,5.80E-04
1.81E+17,0.00226,5.49E-05,0.00103,5.74E-04
1.82E+17,0.00227,5.62E-05,0.00103,5.72E-04
1.82E+17,0.00225,5.46E-05,0.00104,5.69E-04
1.83E+17,0.00225,5.53E-05,0.00102,5.75E-04
1.84E+17,0.00225,5.64E-05,0.00102,5.69E-04
1.85E+17,0.00224,5.58E-05,0.00103,5.63E-04
1.85E+17,0.00224,5.56E-05,0.00103,5.73E-04
1.86E+17,0.00225,5.52E-05,0.00102,5.66E-04
1.87E+17,0.00223,5.48E-05,0.00102,5.65E-04
1.88E+17,0.00222,5.22E-05,0.00102,5.63E-04
1.88E+17,0.00223,5.50E-05,9.94E-04,5.63E-04
1.89E+17,0.00222,5.52E-05,0.001,5.57E-04
1.90E+17,0.00221,5.56E-05,0.00101,5.47E-04
1.90E+17,0.00221,5.40E-05,0.00101,5.53E-04
1.91E+17,0.0022,5.11E-05,0.00101,5.56E-04
1.92E+17,0.00221,5.16E-05,0.001,5.54E-04
1.93E+17,0.00218,5.39E-05,0.001,5.56E-04
1.93E+17,0.00218,5.56E-05,9.98E-04,5.51E-04
1.94E+17,0.00218,5.44E-05,0.00101,5.54E-04
1.95E+17,0.00217,5.28E-05,0.001,5.54E-04
1.96E+17,0.00217,5.52E-05,9.88E-04,5.54E-04
1.96E+17,0.00217,5.40E-05,9.88E-04,5.51E-04
1.97E+17,0.00216,5.35E-05,9.88E-04,5.43E-04
1.98E+17,0.00217,5.09E-05,9.77E-04,5.44E-04
1.98E+17,0.00215,5.16E-05,9.90E-04,5.40E-04
1.99E+17,0.00215,5.05E-05,9.88E-04,5.39E-04
2.00E+17,0.00215,5.22E-05,9.79E-04,5.39E-04
2.01E+17,0.00216,5.31E-05,9.82E-04,5.38E-04
2.01E+17,0.00215,5.26E-05,9.76E-04,5.37E-04
2.02E+17,0.00212,5.20E-05,9.77E-04,5.39E-04
2.03E+17,0.00212,5.19E-05,9.85E-04,5.42E-04
2.04E+17,0.00212,5.08E-05,9.80E-04,5.35E-04
2.04E+17,0.00213,5.24E-05,9.57E-04,5.36E-04
2.05E+17,0.00211,5.24E-05,9.79E-04,5.29E-04
2.06E+17,0.00212,5.29E-05,9.58E-04,5.34E-04
2.06E+17,0.00211,5.15E-05,9.60E-04,5.42E-04
2.07E+17,0.00209,5.00E-05,9.60E-04,5.29E-04
2.08E+17,0.0021,5.18E-05,9.44E-04,5.35E-04
2.09E+17,0.00211,5.21E-05,9.75E-04,5.30E-04
2.09E+17,0.00208,5.14E-05,9.58E-04,5.27E-04
2.10E+17,0.00207,5.00E-05,9.69E-04,5.28E-04
2.11E+17,0.00208,5.06E-05,9.60E-04,5.21E-04
2.12E+17,0.00206,5.04E-05,9.37E-04,5.29E-04
2.12E+17,0.00206,4.92E-05,9.45E-04,5.15E-04
2.13E+17,0.00206,5.23E-05,9.64E-04,5.21E-04
2.14E+17,0.00207,4.99E-05,9.45E-04,5.27E-04
2.14E+17,0.00204,5.23E-05,9.52E-04,5.23E-04
2.15E+17,0.00206,5.08E-05,9.50E-04,5.22E-04
2.16E+17,0.00205,5.13E-05,9.48E-04,5.28E-04
2.17E+17,0.00205,5.10E-05,9.41E-04,5.22E-04
2.17E+17,0.00204,4.99E-05,9.34E-04,5.18E-04
2.18E+17,0.00204,5.03E-05,9.62E-04,5.21E-04
2.19E+17,0.00205,4.94E-05,9.54E-04,5.26E-04
2.19E+17,0.00204,5.05E-05,9.36E-04,5.21E-04
2.20E+17,0.00204,4.97E-05,9.31E-04,5.23E-04
2.21E+17,0.00202,4.87E-05,9.32E-04,5.17E-04
2.22E+17,0.00202,4.92E-05,9.43E-04,5.14E-04
2.22E+17,0.00202,5.00E-05,9.48E-04,5.08E-04
2.23E+17,0.002,4.83E-05,9.38E-04,5.13E-04
2.24E+17,0.00199,4.88E-05,9.41E-04,5.11E-04
2.25E+17,0.00201,4.93E-05,9.32E-04,5.21E-04
2.25E+17,0.00202,5.01E-05,9.28E-04,5.06E-04
2.26E+17,0.00199,4.87E-05,9.25E-04,5.13E-04
2.27E+17,0.002,4.94E-05,9.17E-04,5.01E-04
2.27E+17,0.00199,4.96E-05,9.20E-04,5.03E-04
2.28E+17,0.00198,4.87E-05,9.19E-04,5.05E-04
2.29E+17,0.002,4.72E-05,9.21E-04,5.11E-04
2.30E+17,0.00197,4.75E-05,9.29E-04,5.09E-04
2.30E+17,0.00197,5.01E-05,9.25E-04,5.08E-04
2.31E+17,0.00199,4.86E-05,9.07E-04,5.14E-04
2.32E+17,0.00198,4.78E-05,9.21E-04,4.98E-04
2.33E+17,0.00198,4.86E-05,9.16E-04,5.04E-04
2.33E+17,0.00198,4.81E-05,9.16E-04,4.86E-04
2.34E+17,0.00197,4.73E-05,9.07E-04,5.05E-04
2.35E+17,0.00199,4.86E-05,9.16E-04,5.01E-04
2.35E+17,0.00196,4.75E-05,9.13E-04,5.03E-04
2.36E+17,0.00195,4.86E-05,9.09E-04,5.00E-04
2.37E+17,0.00195,4.86E-05,8.97E-04,5.02E-04
2.38E+17,0.00195,4.74E-05,9.05E-04,5.06E-04
2.38E+17,0.00193,4.72E-05,8.98E-04,4.82E-04
2.39E+17,0.00192,4.61E-05,9.02E-04,4.93E-04
2.40E+17,0.00195,4.61E-05,9.01E-04,4.97E-04
2.41E+17,0.00195,4.61E-05,8.95E-04,4.92E-04
2.41E+17,0.00195,4.62E-05,9.02E-04,4.91E-04
2.42E+17,0.00192,4.70E-05,8.98E-04,4.96E-04
2.43E+17,0.00191,4.70E-05,9.00E-04,4.90E-04
2.43E+17,0.00196,4.59E-05,8.76E-04,4.89E-04
2.44E+17,0.00191,4.63E-05,8.86E-04,4.91E-04
2.45E+17,0.00193,4.55E-05,8.74E-04,4.91E-04
2.46E+17,0.00189,4.65E-05,8.83E-04,4.87E-04
2.46E+17,0.00192,4.70E-05,8.80E-04,4.82E-04
2.47E+17,0.00192,4.68E-05,8.80E-04,4.90E-04
2.48E+17,0.0019,4.51E-05,8.81E-04,4.83E-04
2.48E+17,0.00188,4.68E-05,8.82E-04,4.91E-04
2.49E+17,0.00188,4.65E-05,8.84E-04,4.90E-04
2.50E+17,0.0019,4.65E-05,8.84E-04,4.84E-04
2.51E+17,0.00187,4.55E-05,8.84E-04,4.90E-04
2.51E+17,0.00191,4.52E-05,8.88E-04,4.84E-04
2.52E+17,0.00189,4.51E-05,8.76E-04,4.83E-04
2.53E+17,0.00187,4.61E-05,8.70E-04,4.77E-04
2.53E+17,0.00187,4.64E-05,8.82E-04,4.82E-04
2.54E+17,0.00184,4.68E-05,8.80E-04,4.82E-04
2.55E+17,0.00184,4.35E-05,8.81E-04,4.83E-04
2.56E+17,0.00189,4.47E-05,8.70E-04,4.81E-04
2.56E+17,0.00188,4.46E-05,8.67E-04,4.80E-04
2.57E+17,0.00186,4.40E-05,8.73E-04,4.74E-04
2.58E+17,0.00188,4.34E-05,8.67E-04,4.83E-04
2.58E+17,0.00188,4.45E-05,8.60E-04,4.84E-04
2.59E+17,0.00188,4.26E-05,8.62E-04,4.74E-04
2.60E+17,0.00187,4.28E-05,8.59E-04,4.71E-04
2.61E+17,0.00187,4.34E-05,8.61E-04,4.71E-04
2.61E+17,0.00184,4.40E-05,8.55E-04,4.74E-04
2.62E+17,0.00185,4.39E-05,8.61E-04,4.77E-04
2.63E+17,0.00185,4.63E-05,8.57E-04,4.72E-04
2.63E+17,0.00183,4.45E-05,8.50E-04,4.71E-04
2.64E+17,0.00182,4.49E-05,8.57E-04,4.72E-04
2.65E+17,0.00181,4.21E-05,8.49E-04,4.68E-04
2.66E+17,0.00186,4.43E-05,8.43E-04,4.70E-04
2.66E+17,0.00183,4.13E-05,8.53E-04,4.73E-04
2.67E+17,0.00184,4.26E-05,8.50E-04,4.68E-04
2.68E+17,0.00182,4.28E-05,8.48E-04,4.67E-04
2.69E+17,0.00182,4.41E-05,8.47E-04,4.61E-04
2.69E+17,0.00186,4.32E-05,8.55E-04,4.60E-04
2.70E+17,0.00183,4.41E-05,8.45E-04,4.65E-04
2.71E+17,0.00184,4.22E-05,8.42E-04,4.54E-04
2.71E+17,0.00185,4.42E-05,8.51E-04,4.60E-04
2.72E+17,0.00183,4.34E-05,8.54E-04,4.72E-04
2.73E+17,0.00182,4.18E-05,8.41E-04,4.65E-04
2.74E+17,0.00178,4.07E-05,8.42E-04,4.63E-04
2.74E+17,0.00183,4.28E-05,8.36E-04,4.63E-04
2.75E+17,0.00182,4.31E-05,8.41E-04,4.53E-04
2.76E+17,0.00179,4.32E-05,8.37E-04,4.60E-04
2.77E+17,0.00183,4.08E-05,8.39E-04,4.54E-04
2.77E+17,0.00176,4.19E-05,8.34E-04,4.60E-04
2.78E+17,0.00182,4.21E-05,8.33E-04,4.54E-04
2.79E+17,0.00181,4.16E-05,8.39E-04,4.59E-04
2.79E+17,0.00184,4.34E-05,8.37E-04,4.59E-04
2.80E+17,0.00178,4.10E-05,8.27E-04,4.56E-04
2.81E+17,0.0018,4.20E-05,8.40E-04,4.58E-04
2.82E+17,0.00182,4.36E-05,8.41E-04,4.63E-04
2.82E+17,0.00177,3.99E-05,8.33E-04,4.57E-04
2.83E+17,0.0018,4.37E-05,8.24E-04,4.59E-04
