%,,,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2
,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in_eta_i = [,,%,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.742,0.742,0.742,0.742,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.742,0.742,0.742,0.742,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074
,,%,0.005,0.007,0.01,0.015,0.005,0.007,0.01,0.015,0.005,0.007,0.01,0.015,0.005,0.007,0.01,0.015,0.005,0.007,0.01,0.015,0.005,0.007,0.01,0.015,0.005,0.007,0.01,0.015,0.005,0.007,0.01,0.015,0.049,0.074,0.099,0.148,0.005,0.007,0.01,0.015,0.005,0.007,0.01,0.015,0.005,0.007,0.01,0.015,0.005,0.007,0.01,0.015,0.005,0.007,0.01,0.015,0.005,0.007,0.01,0.015,0.005,0.007,0.01,0.015,0.005,0.007,0.01,0.015,0.005,0.007,0.01,0.015,0.005,0.007,0.01,0.015,0.005,0.007,0.01,0.015,0.005,0.007,0.01,0.015,0.005,0.007,0.01,0.015,0.005,0.007,0.01,0.015,0.005,0.007,0.01,0.015,0.005,0.007,0.01,0.015,0.005,0.007,0.01,0.015,0.005,0.007,0.01,0.015,0.049,0.074,0.099,0.148,0.005,0.007,0.01,0.015,0.005,0.007,0.01,0.015,0.005,0.007,0.01,0.015,0.005,0.007,0.01,0.015,0.005,0.007,0.01,0.015,0.005,0.007,0.01,0.015,0.005,0.007,0.01,0.015,0.005,0.007,0.01,0.015,0.005,0.007,0.01,0.015,0.005,0.007,0.01,0.015,0.005,0.007,0.01,0.015,0.005,0.007,0.01,0.015,0.005,0.007,0.01,0.015,0.005,0.007,0.01,0.015,0.005,0.007,0.01,0.015,0.005,0.007,0.01,0.015,0.005,0.007,0.01,0.015,0.005,0.007,0.01,0.015,0.005,0.007,0.01,0.015,0.005,0.007,0.01,0.015,0.005,0.007,0.01,0.015,0.005,0.007,0.01,0.015,0.005,0.007,0.01,0.015,0.005,0.007,0.01,0.015,0.005,0.007,0.01,0.015,0.005,0.007,0.01,0.015,0.005,0.007,0.01,0.015,0.005,0.007,0.01,0.015,0.005,0.007,0.01,0.015
,,%,0.035,0.04,0.04,0.045,0.035,0.04,0.04,0.045,0.035,0.04,0.04,0.045,0.035,0.04,0.04,0.045,0.035,0.04,0.04,0.045,0.035,0.04,0.04,0.045,0.035,0.04,0.04,0.045,0.035,0.04,0.04,0.045,0.346,0.396,0.396,0.445,0.035,0.04,0.04,0.045,0.035,0.04,0.04,0.045,0.035,0.04,0.04,0.045,0.035,0.04,0.04,0.045,0.035,0.04,0.04,0.045,0.035,0.04,0.04,0.045,0.035,0.04,0.04,0.045,0.035,0.04,0.04,0.045,0.035,0.04,0.04,0.045,0.035,0.04,0.04,0.045,0.035,0.04,0.04,0.045,0.035,0.04,0.04,0.045,0.035,0.04,0.04,0.045,0.035,0.04,0.04,0.045,0.035,0.04,0.04,0.045,0.035,0.04,0.04,0.045,0.035,0.04,0.04,0.045,0.035,0.04,0.04,0.045,0.346,0.396,0.396,0.445,0.035,0.04,0.04,0.045,0.035,0.04,0.04,0.045,0.035,0.04,0.04,0.045,0.035,0.04,0.04,0.045,0.035,0.04,0.04,0.045,0.035,0.04,0.04,0.045,0.035,0.04,0.04,0.045,0.035,0.04,0.04,0.045,0.035,0.04,0.04,0.045,0.035,0.04,0.04,0.045,0.035,0.04,0.04,0.045,0.035,0.04,0.04,0.045,0.035,0.04,0.04,0.045,0.035,0.04,0.04,0.045,0.035,0.04,0.04,0.045,0.035,0.04,0.04,0.045,0.035,0.04,0.04,0.045,0.035,0.04,0.04,0.045,0.035,0.04,0.04,0.045,0.035,0.04,0.04,0.045,0.035,0.04,0.04,0.045,0.035,0.04,0.04,0.045,0.035,0.04,0.04,0.045,0.035,0.04,0.04,0.045,0.035,0.04,0.04,0.045,0.035,0.04,0.04,0.045,0.035,0.04,0.04,0.045,0.035,0.04,0.04,0.045,0.035,0.04,0.04,0.045
,,%,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.198,0.198,0.198,0.198,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.198,0.198,0.198,0.198,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
in_eta_p_i = [,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in_eta_e = [,,%,2.00E-04,5.00E-06,1.00E-04,1.00E-04,2.00E-04,5.00E-06,1.00E-04,1.00E-04,2.00E-04,5.00E-06,1.00E-04,1.00E-04,2.00E-04,5.00E-06,1.00E-04,1.00E-04,2.00E-04,5.00E-06,1.00E-04,1.00E-04,2.00E-04,5.00E-06,1.00E-04,1.00E-04,2.00E-04,5.00E-06,1.00E-04,1.00E-04,2.00E-04,5.00E-06,1.00E-04,1.00E-04,1.77E-03,6.46E-05,4.52E-04,3.87E-04,3.33E-05,8.33E-07,1.67E-05,1.67E-05,3.33E-05,8.33E-07,1.67E-05,1.67E-05,3.33E-05,8.33E-07,1.67E-05,1.67E-05,3.33E-05,8.33E-07,1.67E-05,1.67E-05,3.33E-05,8.33E-07,1.67E-05,1.67E-05,3.33E-05,8.33E-07,1.67E-05,1.67E-05,3.33E-05,8.33E-07,1.67E-05,1.67E-05,3.33E-05,8.33E-07,1.67E-05,1.67E-05,3.33E-05,8.33E-07,1.67E-05,1.67E-05,3.33E-05,8.33E-07,1.67E-05,1.67E-05,3.33E-05,8.33E-07,1.67E-05,1.67E-05,3.33E-05,8.33E-07,1.67E-05,1.67E-05,3.33E-05,8.33E-07,1.67E-05,1.67E-05,3.33E-05,8.33E-07,1.67E-05,1.67E-05,3.33E-05,8.33E-07,1.67E-05,1.67E-05,3.33E-05,8.33E-07,1.67E-05,1.67E-05,3.33E-05,8.33E-07,1.67E-05,1.67E-05,3.33E-05,8.33E-07,1.67E-05,1.67E-05,1.77E-03,6.46E-05,4.52E-04,3.87E-04,2.00E-04,5.00E-06,1.00E-04,1.00E-04,2.00E-04,5.00E-06,1.00E-04,1.00E-04,2.00E-04,5.00E-06,1.00E-04,1.00E-04,2.00E-04,5.00E-06,1.00E-04,1.00E-04,2.00E-04,5.00E-06,1.00E-04,1.00E-04,2.00E-04,5.00E-06,1.00E-04,1.00E-04,2.00E-04,5.00E-06,1.00E-04,1.00E-04,2.00E-04,5.00E-06,1.00E-04,1.00E-04,2.00E-04,5.00E-06,1.00E-04,1.00E-04,2.00E-04,5.00E-06,1.00E-04,1.00E-04,2.00E-04,5.00E-06,1.00E-04,1.00E-04,2.00E-04,5.00E-06,1.00E-04,1.00E-04,2.00E-04,5.00E-06,1.00E-04,1.00E-04,2.00E-04,5.00E-06,1.00E-04,1.00E-04,2.00E-04,5.00E-06,1.00E-04,1.00E-04,2.00E-04,5.00E-06,1.00E-04,1.00E-04,2.00E-04,5.00E-06,1.00E-04,1.00E-04,2.00E-04,5.00E-06,1.00E-04,1.00E-04,2.00E-04,5.00E-06,1.00E-04,1.00E-04,2.00E-04,5.00E-06,1.00E-04,1.00E-04,2.00E-04,5.00E-06,1.00E-04,1.00E-04,2.00E-04,5.00E-06,1.00E-04,1.00E-04,2.00E-04,5.00E-06,1.00E-04,1.00E-04,2.00E-04,5.00E-06,1.00E-04,1.00E-04,2.00E-04,5.00E-06,1.00E-04,1.00E-04,2.00E-04,5.00E-06,1.00E-04,1.00E-04,2.00E-04,5.00E-06,1.00E-04,1.00E-04,2.00E-04,5.00E-06,1.00E-04,1.00E-04,2.00E-04,5.00E-06,1.00E-04,1.00E-04
in_eta_p_e = [,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in_eta_ph = [,,%,2.50E-07,2.50E-09,1.25E-08,1.25E-08,2.50E-07,2.50E-09,1.25E-08,1.25E-08,2.50E-07,2.50E-09,1.25E-08,1.25E-08,2.50E-07,2.50E-09,1.25E-08,1.25E-08,2.50E-07,2.50E-09,1.25E-08,1.25E-08,2.50E-07,2.50E-09,1.25E-08,1.25E-08,2.50E-07,2.50E-09,1.25E-08,1.25E-08,2.50E-07,2.50E-09,1.25E-08,1.25E-08,1.50E-04,4.00E-06,1.50E-05,2.50E-05,2.50E-07,2.50E-09,1.25E-08,1.25E-08,2.50E-07,2.50E-09,1.25E-08,1.25E-08,2.50E-07,2.50E-09,1.25E-08,1.25E-08,2.50E-07,2.50E-09,1.25E-08,1.25E-08,2.50E-07,2.50E-09,1.25E-08,1.25E-08,2.50E-07,2.50E-09,1.25E-08,1.25E-08,2.50E-07,2.50E-09,1.25E-08,1.25E-08,2.50E-07,2.50E-09,1.25E-08,1.25E-08,2.50E-07,2.50E-09,1.25E-08,1.25E-08,2.50E-07,2.50E-09,1.25E-08,1.25E-08,2.50E-07,2.50E-09,1.25E-08,1.25E-08,2.50E-07,2.50E-09,1.25E-08,1.25E-08,2.50E-07,2.50E-09,1.25E-08,1.25E-08,2.50E-07,2.50E-09,1.25E-08,1.25E-08,2.50E-07,2.50E-09,1.25E-08,1.25E-08,2.50E-07,2.50E-09,1.25E-08,1.25E-08,2.50E-07,2.50E-09,1.25E-08,1.25E-08,2.50E-07,2.50E-09,1.25E-08,1.25E-08,1.50E-04,4.00E-06,1.50E-05,2.50E-05,2.50E-07,2.50E-09,1.25E-08,1.25E-08,2.50E-07,2.50E-09,1.25E-08,1.25E-08,2.50E-07,2.50E-09,1.25E-08,1.25E-08,2.50E-07,2.50E-09,1.25E-08,1.25E-08,2.50E-07,2.50E-09,1.25E-08,1.25E-08,2.50E-07,2.50E-09,1.25E-08,1.25E-08,2.50E-07,2.50E-09,1.25E-08,1.25E-08,2.50E-07,2.50E-09,1.25E-08,1.25E-08,2.50E-07,2.50E-09,1.25E-08,1.25E-08,2.50E-07,2.50E-09,1.25E-08,1.25E-08,2.50E-07,2.50E-09,1.25E-08,1.25E-08,2.50E-07,2.50E-09,1.25E-08,1.25E-08,2.50E-07,2.50E-09,1.25E-08,1.25E-08,2.50E-07,2.50E-09,1.25E-08,1.25E-08,2.50E-07,2.50E-09,1.25E-08,1.25E-08,2.50E-07,2.50E-09,1.25E-08,1.25E-08,2.50E-07,2.50E-09,1.25E-08,1.25E-08,2.50E-07,2.50E-09,1.25E-08,1.25E-08,2.50E-07,2.50E-09,1.25E-08,1.25E-08,2.50E-07,2.50E-09,1.25E-08,1.25E-08,2.50E-07,2.50E-09,1.25E-08,1.25E-08,2.50E-07,2.50E-09,1.25E-08,1.25E-08,2.50E-07,2.50E-09,1.25E-08,1.25E-08,2.50E-07,2.50E-09,1.25E-08,1.25E-08,2.50E-07,2.50E-09,1.25E-08,1.25E-08,2.50E-07,2.50E-09,1.25E-08,1.25E-08,2.50E-07,2.50E-09,1.25E-08,1.25E-08,2.50E-07,2.50E-09,1.25E-08,1.25E-08,2.50E-07,2.50E-09,1.25E-08,1.25E-08
in_eta_p_ph = [,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in_Cbs = [,,%,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,1.37E+03,0,0,0,1.76E+02,0,0,0,1.72E+03,0,0,0,1.76E+02,0,0,0,1.64E+03,0,0,0,9.84E+01,0,0,0,1.79E+03,0,0,0,1.76E+02,0,0,0,1.64E+03,0,0,0,1.76E+02,0,0,0,1.64E+03,0,0,0,1.76E+02,0,0,0,1.64E+03,0,0,0,1.76E+02,0,0,0,1.64E+03,0,0,0,1.76E+02,0,0,0,1.64E+03,0,0,0,1.76E+02,0,0,0,1.64E+03,0,0,0,1.37E+03,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0
,,%,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,6.39E+02,0,0,0,6.23E+01,0,0,0,6.12E+02,0,0,0,6.23E+01,0,0,0,5.84E+02,0,0,0,3.50E+01,0,0,0,6.48E+02,0,0,0,6.23E+01,0,0,0,5.85E+02,0,0,0,6.23E+01,0,0,0,5.85E+02,0,0,0,6.23E+01,0,0,0,5.85E+02,0,0,0,6.23E+01,0,0,0,5.85E+02,0,0,0,6.23E+01,0,0,0,5.85E+02,0,0,0,6.23E+01,0,0,0,5.85E+02,0,0,0,6.39E+02,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0
,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.05E+02,0,0,0,4.71E+01,0,0,0,4.63E+02,0,0,0,4.71E+01,0,0,0,4.42E+02,0,0,0,2.65E+01,0,0,0,4.91E+02,0,0,0,4.71E+01,0,0,0,4.42E+02,0,0,0,4.71E+01,0,0,0,4.42E+02,0,0,0,4.71E+01,0,0,0,4.42E+02,0,0,0,4.71E+01,0,0,0,4.42E+02,0,0,0,4.71E+01,0,0,0,4.42E+02,0,0,0,4.71E+01,0,0,0,4.42E+02,0,0,0,5.05E+02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
