%,,,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2
in_sigma = [,,%,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0
,,%,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0
,,%,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0
,,%,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22
in_alpha = [,,%,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0
,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in_alpha_p = [,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
