,,,Module Penning + VVS,,,,NEG,,,,Module,,,,NEG,,,,Module,,,,NEG,,,,Module + VIP,,,,TCLA,,,,Module + VIP,,,,TCLA,,,,Module + VIP,,,,NEG,,,,Module + SVT,,,,NEG,,,,Double Module - Beam Stopper,,,,NEG,,,,Module,,,,NEG,,,,Module + VIP,,,,Spare Chambers,,,,Module + VIP,,,,TCLA,,,,Module + VIP,,,,NEG,,,,Module + VIP,,,,Spare Chambers,,,,Module + VIP,,,,TCLA,,,,Module + VIP,,,,NEG,,,,Module Penning + VVS,,,
%,,,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2
in_g = [,[torrl/s],%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.00E-09,6.00E-11,7.50E-10,7.50E-10,0,0,0,0,0,0,0,0
in_sigma = [,,%,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0
,,%,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0
,,%,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0
,,%,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23
in_alpha = [,,%,1.00E-12,0,0,0,0.05,0,0,0,1.00E-12,0,0,0,0.05,0,0,0,1.00E-12,0,0,0,0.05,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,0.05,0,0,0,1.00E-12,0,0,0,0.05,0,0,0,1.00E-12,0,0,0,0.05,0,0,0,1.00E-12,0,0,0,0.05,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,0.005,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,0.005,0,0,0,1.00E-12,0,0,0
,,%,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0
,,%,0,0,1.00E-12,0,0,0,0.50,0,0,0,1.00E-12,0,0,0,0.50,0,0,0,1.00E-12,0,0,0,0.50,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,0.50,0,0,0,1.00E-12,0,0,0,0.50,0,0,0,1.00E-12,0,0,0,0.50,0,0,0,1.00E-12,0,0,0,0.50,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,0.005,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,0.005,0,0,0,1.00E-12,0
,,%,0,0,0,1.00E-12,0,0,0,0.50,0,0,0,1.00E-12,0,0,0,0.50,0,0,0,1.00E-12,0,0,0,0.50,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,0.50,0,0,0,1.00E-12,0,0,0,0.50,0,0,0,1.00E-12,0,0,0,0.50,0,0,0,1.00E-12,0,0,0,0.50,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,0.005,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,0.005,0,0,0,1.00E-12
in_alpha_p = [,,%,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0
