,,,Module Penning + VVS,,,,NEG,,,,Module,,,,NEG,,,,Module,,,,NEG,,,,Module + VIP,,,,TCLA,,,,Module + VIP,,,,TCLA,,,,Module + VIP,,,,NEG,,,,Module + SVT,,,,NEG,,,,Double Module - Beam Stopper,,,,NEG,,,,Module,,,,NEG,,,,Module + VIP,,,,Spare Chambers,,,,Module + VIP,,,,TCLA,,,,Module + VIP,,,,NEG,,,,Module + VIP,,,,Spare Chambers,,,,Module + VIP,,,,TCLA,,,,Module + VIP,,,,NEG,,,,Module Penning + VVS,,,
%,,,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2
,,%,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03
in_eta_e = [,,%,0.001774173,6.46E-05,0.000452095,0.000387369,0.001774173,6.46E-05,0.000452095,0.000387369,0.001774173,6.46E-05,0.000452095,0.000387369,0.001774173,6.46E-05,0.000452095,0.000387369,0.001774173,6.46E-05,0.000452095,0.000387369,0.001774173,6.46E-05,0.000452095,0.000387369,0.001774173,6.46E-05,0.000452095,0.000387369,0.001774173,6.46E-05,0.000452095,0.000387369,0.001774173,6.46E-05,0.000452095,0.000387369,0.001774173,6.46E-05,0.000452095,0.000387369,0.001774173,6.46E-05,0.000452095,0.000387369,0.001774173,6.46E-05,0.000452095,0.000387369,0.001774173,6.46E-05,0.000452095,0.000387369,0.001774173,6.46E-05,0.000452095,0.000387369,0.001774173,6.46E-05,0.000452095,0.000387369,0.001774173,6.46E-05,0.000452095,0.000387369,0.001774173,6.46E-05,0.000452095,0.000387369,0.001774173,6.46E-05,0.000452095,0.000387369,0.001774173,6.46E-05,0.000452095,0.000387369,0.001774173,6.46E-05,0.000452095,0.000387369,0.001774173,6.46E-05,0.000452095,0.000387369,0.001774173,6.46E-05,0.000452095,0.000387369,0.001774173,6.46E-05,0.000452095,0.000387369,0.001774173,6.46E-05,0.000452095,0.000387369,0.001774173,6.46E-05,0.000452095,0.000387369,0.001774173,6.46E-05,0.000452095,0.000387369,0.001774173,6.46E-05,0.000452095,0.000387369,0.001774173,6.46E-05,0.000452095,0.000387369,0.001774173,6.46E-05,0.000452095,0.000387369,0.001774173,6.46E-05,0.000452095,0.000387369,0.001774173,6.46E-05,0.000452095,0.000387369
in_eta_p_e = [,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in_eta_ph = [,,%,0.00015,0.000004,0.000015,0.000025,0.00015,0.000004,0.000015,0.000025,0.00015,0.000004,0.000015,0.000025,0.00015,0.000004,0.000015,0.000025,0.00015,0.000004,0.000015,0.000025,0.00015,0.000004,0.000015,0.000025,0.00015,0.000004,0.000015,0.000025,0.00015,0.000004,0.000015,0.000025,0.00015,0.000004,0.000015,0.000025,0.00015,0.000004,0.000015,0.000025,0.00015,0.000004,0.000015,0.000025,0.00015,0.000004,0.000015,0.000025,0.00015,0.000004,0.000015,0.000025,0.00015,0.000004,0.000015,0.000025,0.00015,0.000004,0.000015,0.000025,0.00015,0.000004,0.000015,0.000025,0.00015,0.000004,0.000015,0.000025,0.00015,0.000004,0.000015,0.000025,0.00015,0.000004,0.000015,0.000025,0.00015,0.000004,0.000015,0.000025,0.00015,0.000004,0.000015,0.000025,0.00015,0.000004,0.000015,0.000025,0.00015,0.000004,0.000015,0.000025,0.00015,0.000004,0.000015,0.000025,0.00015,0.000004,0.000015,0.000025,0.00015,0.000004,0.000015,0.000025,0.00015,0.000004,0.000015,0.000025,0.00015,0.000004,0.000015,0.000025,0.00015,0.000004,0.000015,0.000025,0.00015,0.000004,0.000015,0.000025,0.00015,0.000004,0.000015,0.000025
in_eta_p_ph = [,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in_Cbs = [,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in_Qth = [,,%,7.06E-12,3.53E-15,1.76E-14,1.76E-14,5.00E-14,3.00E-17,1.00E-14,1.00E-14,7.06E-12,3.53E-15,1.76E-14,1.76E-14,5.00E-14,3.00E-17,1.00E-14,1.00E-14,7.06E-12,3.53E-15,1.76E-14,1.76E-14,5.00E-14,3.00E-17,1.00E-14,1.00E-14,4.07E-12,2.04E-15,1.02E-14,1.02E-14,7.06E-11,7.06E-14,7.06E-14,7.06E-14,4.07E-12,2.04E-15,1.02E-14,1.02E-14,7.06E-11,7.06E-14,7.06E-14,7.06E-14,4.07E-12,2.04E-15,1.02E-14,1.02E-14,5.00E-14,3.00E-17,1.00E-14,1.00E-14,2.83E-11,3.54E-15,1.77E-14,1.77E-14,5.00E-14,3.00E-17,1.00E-14,1.00E-14,5.88E-11,5.88E-15,2.94E-14,2.94E-14,5.00E-14,3.00E-17,1.00E-14,1.00E-14,7.06E-12,3.53E-15,1.76E-14,1.76E-14,5.00E-14,3.00E-17,1.00E-14,1.00E-14,4.07E-12,2.04E-15,1.02E-14,1.02E-14,5.00E-14,3.00E-17,1.00E-14,1.00E-14,4.07E-12,2.04E-15,1.02E-14,1.02E-14,7.06E-11,7.06E-14,7.06E-14,7.06E-14,4.07E-12,2.04E-15,1.02E-14,1.02E-14,5.00E-14,3.00E-17,1.00E-14,1.00E-14,4.07E-12,2.04E-15,1.02E-14,1.02E-14,5.00E-14,3.00E-17,1.00E-14,1.00E-14,4.07E-12,2.04E-15,1.02E-14,1.02E-14,7.06E-11,7.06E-14,7.06E-14,7.06E-14,4.07E-12,2.04E-15,1.02E-14,1.02E-14,5.00E-14,3.00E-17,1.00E-14,1.00E-14,5.88E-11,5.88E-15,2.94E-14,2.94E-14
in_n_e = [,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in_N_e = [,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in_Gamma_ph = [,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in_S_Nplus1 = [,[l/s] (H2),%,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,[l/s] (CH4),%,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,[l/s] (CO),%,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,[l/s] (CO2),%,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in_g_Nplus1 = [,[torrl/s],%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
