,,,Forward chamber - part 2,,,,Forward chamber - part 1,,,,EWB module - 15.5m,,,,CT2 chamber,,,,CT2 dish assembly - pumping,,,,CT2 dish assembly - part 2,,,,CT2 dish assembly - part 1,,,,HF chamber - part 2,,,,HF chamber - part 1,,,,End Cap chamber - part 11,,,,End Cap chamber - part 10,,,,End Cap chamber - part 9,,,,End Cap chamber - part 8,,,,End Cap chamber - part 7,,,,End Cap chamber - part 6,,,,End Cap chamber - part 5,,,,End Cap chamber - part 4,,,,End Cap chamber - part 3,,,,End Cap chamber - part 2,,,,End Cap chamber - part 1,,,,End Cap chamber - compensator 3.2m,,,,VC5C flange,,,,VC5C cone - part 2,,,,VC5C cone - part 1,,,,VC5C - central part,,,,VC5C cone - part 1,,,,VC5C cone - part 2,,,,VC5C flange,,,,End Cap chamber - compensator 3.2m,,,,End Cap chamber - part 1,,,,End Cap chamber - part 2,,,,End Cap chamber - part 3,,,,End Cap chamber - part 4,,,,End Cap chamber - part 5,,,,End Cap chamber - part 6,,,,End Cap chamber - part 7,,,,End Cap chamber - part 8,,,,End Cap chamber - part 9,,,,End Cap chamber - part 10,,,,End Cap chamber - part 11,,,,HF chamber - part 1,,,,HF chamber - part 2,,,,CT2 dish assembly - part 1,,,,CT2 dish assembly - part 2,,,,CT2 dish assembly - pumping,,,,CT2 chamber,,,,EWB module - 15.5m,,,,Forward chamber - part 1,,,,Forward chamber - part 2,,,
%,,,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2
,,%,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0
,,%,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0
,,%,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12
in_eta_i = [,,%,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-01,5.40E-01,5.40E-01,5.40E-01,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-01,5.40E-01,5.40E-01,5.40E-01,5.40E-01,5.40E-01,5.40E-01,5.40E-01,5.40E-01,5.40E-01,5.40E-01,5.40E-01,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-01,5.40E-01,5.40E-01,5.40E-01,5.40E-01,5.40E-01,5.40E-01,5.40E-01,5.40E-01,5.40E-01,5.40E-01,5.40E-01,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-01,5.40E-01,5.40E-01,5.40E-01,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02,5.40E-02
,,%,4.00E-03,5.00E-03,7.00E-03,1.10E-02,4.00E-03,5.00E-03,7.00E-03,1.10E-02,4.00E-02,5.00E-02,7.00E-02,1.10E-01,4.00E-03,5.00E-03,7.00E-03,1.10E-02,4.00E-02,5.00E-02,7.00E-02,1.10E-01,4.00E-02,5.00E-02,7.00E-02,1.10E-01,4.00E-02,5.00E-02,7.00E-02,1.10E-01,4.00E-03,5.00E-03,7.00E-03,1.10E-02,4.00E-03,5.00E-03,7.00E-03,1.10E-02,4.00E-03,5.00E-03,7.00E-03,1.10E-02,4.00E-03,5.00E-03,7.00E-03,1.10E-02,4.00E-03,5.00E-03,7.00E-03,1.10E-02,4.00E-03,5.00E-03,7.00E-03,1.10E-02,4.00E-03,5.00E-03,7.00E-03,1.10E-02,4.00E-03,5.00E-03,7.00E-03,1.10E-02,4.00E-03,5.00E-03,7.00E-03,1.10E-02,4.00E-03,5.00E-03,7.00E-03,1.10E-02,4.00E-03,5.00E-03,7.00E-03,1.10E-02,4.00E-03,5.00E-03,7.00E-03,1.10E-02,4.00E-03,5.00E-03,7.00E-03,1.10E-02,4.00E-03,5.00E-03,7.00E-03,1.10E-02,4.00E-03,5.00E-03,7.00E-03,1.10E-02,4.00E-03,5.00E-03,7.00E-03,1.10E-02,4.00E-03,5.00E-03,7.00E-03,1.10E-02,4.00E-03,5.00E-03,7.00E-03,1.10E-02,4.00E-03,5.00E-03,7.00E-03,1.10E-02,4.00E-03,5.00E-03,7.00E-03,1.10E-02,4.00E-03,5.00E-03,7.00E-03,1.10E-02,4.00E-03,5.00E-03,7.00E-03,1.10E-02,4.00E-03,5.00E-03,7.00E-03,1.10E-02,4.00E-03,5.00E-03,7.00E-03,1.10E-02,4.00E-03,5.00E-03,7.00E-03,1.10E-02,4.00E-03,5.00E-03,7.00E-03,1.10E-02,4.00E-03,5.00E-03,7.00E-03,1.10E-02,4.00E-03,5.00E-03,7.00E-03,1.10E-02,4.00E-03,5.00E-03,7.00E-03,1.10E-02,4.00E-03,5.00E-03,7.00E-03,1.10E-02,4.00E-03,5.00E-03,7.00E-03,1.10E-02,4.00E-03,5.00E-03,7.00E-03,1.10E-02,4.00E-03,5.00E-03,7.00E-03,1.10E-02,4.00E-03,5.00E-03,7.00E-03,1.10E-02,4.00E-03,5.00E-03,7.00E-03,1.10E-02,4.00E-02,5.00E-02,7.00E-02,1.10E-01,4.00E-02,5.00E-02,7.00E-02,1.10E-01,4.00E-02,5.00E-02,7.00E-02,1.10E-01,4.00E-03,5.00E-03,7.00E-03,1.10E-02,4.00E-02,5.00E-02,7.00E-02,1.10E-01,4.00E-03,5.00E-03,7.00E-03,1.10E-02,4.00E-03,5.00E-03,7.00E-03,1.10E-02
,,%,2.50E-02,2.90E-02,2.90E-02,3.30E-02,2.50E-02,2.90E-02,2.90E-02,3.30E-02,2.50E-01,2.90E-01,2.90E-01,3.30E-01,2.50E-02,2.90E-02,2.90E-02,3.30E-02,2.50E-01,2.90E-01,2.90E-01,3.30E-01,2.50E-01,2.90E-01,2.90E-01,3.30E-01,2.50E-01,2.90E-01,2.90E-01,3.30E-01,2.50E-02,2.90E-02,2.90E-02,3.30E-02,2.50E-02,2.90E-02,2.90E-02,3.30E-02,2.50E-02,2.90E-02,2.90E-02,3.30E-02,2.50E-02,2.90E-02,2.90E-02,3.30E-02,2.50E-02,2.90E-02,2.90E-02,3.30E-02,2.50E-02,2.90E-02,2.90E-02,3.30E-02,2.50E-02,2.90E-02,2.90E-02,3.30E-02,2.50E-02,2.90E-02,2.90E-02,3.30E-02,2.50E-02,2.90E-02,2.90E-02,3.30E-02,2.50E-02,2.90E-02,2.90E-02,3.30E-02,2.50E-02,2.90E-02,2.90E-02,3.30E-02,2.50E-02,2.90E-02,2.90E-02,3.30E-02,2.50E-02,2.90E-02,2.90E-02,3.30E-02,2.50E-02,2.90E-02,2.90E-02,3.30E-02,2.50E-02,2.90E-02,2.90E-02,3.30E-02,2.50E-02,2.90E-02,2.90E-02,3.30E-02,2.50E-02,2.90E-02,2.90E-02,3.30E-02,2.50E-02,2.90E-02,2.90E-02,3.30E-02,2.50E-02,2.90E-02,2.90E-02,3.30E-02,2.50E-02,2.90E-02,2.90E-02,3.30E-02,2.50E-02,2.90E-02,2.90E-02,3.30E-02,2.50E-02,2.90E-02,2.90E-02,3.30E-02,2.50E-02,2.90E-02,2.90E-02,3.30E-02,2.50E-02,2.90E-02,2.90E-02,3.30E-02,2.50E-02,2.90E-02,2.90E-02,3.30E-02,2.50E-02,2.90E-02,2.90E-02,3.30E-02,2.50E-02,2.90E-02,2.90E-02,3.30E-02,2.50E-02,2.90E-02,2.90E-02,3.30E-02,2.50E-02,2.90E-02,2.90E-02,3.30E-02,2.50E-02,2.90E-02,2.90E-02,3.30E-02,2.50E-02,2.90E-02,2.90E-02,3.30E-02,2.50E-02,2.90E-02,2.90E-02,3.30E-02,2.50E-02,2.90E-02,2.90E-02,3.30E-02,2.50E-02,2.90E-02,2.90E-02,3.30E-02,2.50E-02,2.90E-02,2.90E-02,3.30E-02,2.50E-01,2.90E-01,2.90E-01,3.30E-01,2.50E-01,2.90E-01,2.90E-01,3.30E-01,2.50E-01,2.90E-01,2.90E-01,3.30E-01,2.50E-02,2.90E-02,2.90E-02,3.30E-02,2.50E-01,2.90E-01,2.90E-01,3.30E-01,2.50E-02,2.90E-02,2.90E-02,3.30E-02,2.50E-02,2.90E-02,2.90E-02,3.30E-02
,,%,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-01,1.40E-01,1.40E-01,1.40E-01,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-01,1.40E-01,1.40E-01,1.40E-01,1.40E-01,1.40E-01,1.40E-01,1.40E-01,1.40E-01,1.40E-01,1.40E-01,1.40E-01,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-01,1.40E-01,1.40E-01,1.40E-01,1.40E-01,1.40E-01,1.40E-01,1.40E-01,1.40E-01,1.40E-01,1.40E-01,1.40E-01,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-01,1.40E-01,1.40E-01,1.40E-01,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02,1.40E-02
in_eta_p_i = [,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in_eta_e = [,,%,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,1.80E-03,6.50E-05,4.50E-04,3.90E-04,3.30E-05,8.30E-07,1.70E-05,1.70E-05,1.80E-03,6.50E-05,4.50E-04,3.90E-04,1.80E-03,6.50E-05,4.50E-04,3.90E-04,1.80E-03,6.50E-05,4.50E-04,3.90E-04,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,1.80E-03,6.50E-05,4.50E-04,3.90E-04,1.80E-03,6.50E-05,4.50E-04,3.90E-04,1.80E-03,6.50E-05,4.50E-04,3.90E-04,3.30E-05,8.30E-07,1.70E-05,1.70E-05,1.80E-03,6.50E-05,4.50E-04,3.90E-04,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05
in_eta_p_e = [,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in_eta_ph = [,,%,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,1.50E-04,4.00E-06,1.50E-05,2.50E-05,2.50E-07,2.90E-09,1.20E-08,1.20E-08,1.50E-04,4.00E-06,1.50E-05,2.50E-05,1.50E-04,4.00E-06,1.50E-05,2.50E-05,1.50E-04,4.00E-06,1.50E-05,2.50E-05,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,1.50E-04,4.00E-06,1.50E-05,2.50E-05,1.50E-04,4.00E-06,1.50E-05,2.50E-05,1.50E-04,4.00E-06,1.50E-05,2.50E-05,2.50E-07,2.90E-09,1.20E-08,1.20E-08,1.50E-04,4.00E-06,1.50E-05,2.50E-05,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08
in_eta_p_ph = [,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
