,,,Forward chamber - part 2,,,,Forward chamber - part 1,,,,EWB module - 15.5m,,,,CT2 chamber,,,,CT2 dish assembly - pumping,,,,CT2 dish assembly - part 2,,,,CT2 dish assembly - part 1,,,,HF chamber - part 2,,,,HF chamber - part 1,,,,End Cap chamber - part 11,,,,End Cap chamber - part 10,,,,End Cap chamber - part 9,,,,End Cap chamber - part 8,,,,End Cap chamber - part 7,,,,End Cap chamber - part 6,,,,End Cap chamber - part 5,,,,End Cap chamber - part 4,,,,End Cap chamber - part 3,,,,End Cap chamber - part 2,,,,End Cap chamber - part 1,,,,End Cap chamber - compensator 3.2m,,,,VC5C flange,,,,VC5C cone - part 2,,,,VC5C cone - part 1,,,,VC5C - central part,,,,VC5C cone - part 1,,,,VC5C cone - part 2,,,,VC5C flange,,,,End Cap chamber - compensator 3.2m,,,,End Cap chamber - part 1,,,,End Cap chamber - part 2,,,,End Cap chamber - part 3,,,,End Cap chamber - part 4,,,,End Cap chamber - part 5,,,,End Cap chamber - part 6,,,,End Cap chamber - part 7,,,,End Cap chamber - part 8,,,,End Cap chamber - part 9,,,,End Cap chamber - part 10,,,,End Cap chamber - part 11,,,,HF chamber - part 1,,,,HF chamber - part 2,,,,CT2 dish assembly - part 1,,,,CT2 dish assembly - part 2,,,,CT2 dish assembly - pumping,,,,CT2 chamber,,,,EWB module - 15.5m,,,,Forward chamber - part 1,,,,Forward chamber - part 2,,,
%,,,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2
in_g = [,[torrl/s],%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in_sigma = [,,%,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0
,,%,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0
,,%,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0
,,%,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22
in_alpha = [,,%,5.0E-03,0,0,0,5.0E-03,0,0,0,1E-12,0,0,0,5.0E-03,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,5.0E-03,0,0,0,5.0E-03,0,0,0,5.0E-03,0,0,0,5.0E-03,0,0,0,5.0E-03,0,0,0,5.0E-03,0,0,0,5.0E-03,0,0,0,5.0E-03,0,0,0,5.0E-03,0,0,0,5.0E-03,0,0,0,5.0E-03,0,0,0,5.0E-03,0,0,0,5.0E-03,0,0,0,1E-12,0,0,0,5.0E-03,0,0,0,5.0E-03,0,0,0,5.0E-03,0,0,0,5.0E-03,0,0,0,5.0E-03,0,0,0,5.0E-03,0,0,0,5.0E-03,0,0,0,1E-12,0,0,0,5.0E-03,0,0,0,5.0E-03,0,0,0,5.0E-03,0,0,0,5.0E-03,0,0,0,5.0E-03,0,0,0,5.0E-03,0,0,0,5.0E-03,0,0,0,5.0E-03,0,0,0,5.0E-03,0,0,0,5.0E-03,0,0,0,5.0E-03,0,0,0,5.0E-03,0,0,0,5.0E-03,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,5.0E-03,0,0,0,1E-12,0,0,0,5.0E-03,0,0,0,5.0E-03,0,0,0
,,%,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0
,,%,0,0,0.5,0,0,0,0.5,0,0,0,1E-12,0,0,0,0.5,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,1E-12,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,1E-12,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,0.5,0,0,0,1E-12,0,0,0,0.5,0,0,0,0.5,0
,,%,0,0,0,0.5,0,0,0,0.5,0,0,0,1E-12,0,0,0,0.5,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,1E-12,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,1E-12,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,0.5,0,0,0,1E-12,0,0,0,0.5,0,0,0,0.5
in_alpha_p = [,,%,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0,1E-12,0,0,0
