12251.3216,0,0,0
12678.9216,0,0,0
12785.8216,0,0,0
12839.2716,1.80E-09,1.68E-09,2.50E-09
13073.0516,1.47E-09,1.31E-10,3.70E-09
13073.2716,1.24E-09,3.88E-11,2.50E-09
13083.2216,1.69E-10,3.08E-11,3.73E-10
13096.8016,3.89E-09,8.60E-11,7.03E-09
13097.0416,8.17E-10,9.15E-11,1.85E-09
13105.6716,2.39E-10,2.30E-11,5.85E-10
13105.9216,4.43E-10,1.78E-11,1.04E-09
13121.4016,3.24E-11,1.06E-11,5.48E-11
13128.7016,1.88E-09,4.90E-11,3.53E-09
13128.9416,4.33E-10,4.65E-11,1.12E-09
13137.5716,1.32E-10,4.00E-11,4.18E-10
13137.8216,1.72E-10,2.10E-11,5.93E-10
13148.5516,1.36E-11,1.58E-12,2.60E-11
13156.3216,3.45E-10,5.80E-11,9.85E-10
13156.5516,3.49E-10,7.73E-11,1.20E-09
13177.7116,1.65E-10,9.60E-11,2.55E-10
13177.9516,3.01E-10,1.30E-10,4.78E-10
13208.6516,1.28E-10,5.90E-12,2.53E-10
13270.5616,3.11E-10,3.50E-11,8.83E-10
13270.8116,8.29E-11,1.98E-11,1.63E-10
13307.2616,1.55E-10,1.10E-10,3.95E-09
13307.4616,2.89E-08,5.66E-10,5.73E-08
13307.4616,3.70E-10,3.35E-10,2.70E-09
13311.1416,1.77E-09,3.18E-12,3.08E-09
13311.1416,3.22E-10,9.80E-11,5.13E-10
13314.6416,7.87E-10,1.40E-11,2.00E-09
13314.7416,1.02E-09,1.23E-11,1.98E-09
13344.1416,7.66E-10,1.88E-11,1.53E-09
13344.2416,7.37E-10,1.40E-11,1.43E-09
13347.7416,1.90E-09,1.22E-12,3.28E-09
13347.7416,1.13E-09,5.50E-10,1.65E-09
13351.4616,4.13E-10,5.10E-11,6.53E-09
13351.4616,2.42E-09,1.95E-09,6.38E-09
13351.6216,1.10E-10,5.73E-11,6.20E-09
13388.0816,1.26E-10,1.08E-11,2.45E-10
13388.3216,3.80E-09,3.50E-09,4.20E-09
13425.0216,9.23E-11,5.05E-12,1.78E-10
13480.9316,5.01E-10,2.85E-10,1.65E-09
13481.1716,3.95E-10,2.85E-10,7.83E-10
13502.3316,2.77E-10,3.23E-11,3.10E-09
13502.5716,1.43E-10,2.80E-11,1.79E-09
13510.3416,5.56E-10,2.50E-10,3.83E-09
13521.6816,2.16E-10,3.05E-11,3.75E-09
13521.9216,2.39E-10,3.90E-11,4.10E-09
13530.5516,3.10E-10,7.13E-11,2.73E-09
13530.7916,2.90E-10,7.33E-11,2.08E-09
13538.0916,3.22E-11,1.65E-11,1.02E-10
13553.5816,2.20E-09,3.48E-10,5.06E-08
13553.8216,2.83E-09,2.95E-10,8.41E-08
13562.4516,2.14E-10,6.53E-11,2.15E-09
13562.6916,2.56E-09,1.78E-09,3.35E-09
13575.2716,1.73E-10,1.00E-12,1.93E-09
13585.1116,4.78E-10,4.68E-11,3.28E-09
13585.3516,3.00E-10,7.93E-11,1.95E-09
13820.6716,1.12E-09,1.05E-09,1.35E-09
13874.1216,1.12E-09,1.05E-09,1.35E-09
13981.0216,1.12E-09,1.05E-09,1.35E-09
14408.6216,1.12E-09,1.05E-09,1.35E-09
14836.2216,1.12E-09,1.05E-09,1.35E-09
