M0,H2,CH4,CO,CO2
alpha,0,0,0,0
eta_ion,0,0,0,0
,0,0,0,0
,0,0,0,0
,0,0,0,0
eta_e,4.00E-04,2.00E-06,1.50E-04,3.00E-05
eta_ph,1.50E-04,3.00E-06,1.50E-05,2.50E-05
Cbs,0,0,0,0
Qth,1.00E-10,1.00E-10,1.00E-10,1.00E-10
