"H2_x","H2_y","CH4_x","CH4_y","CO_x","CO_y","CO2_x","CO2_y"
1e-06,4883.427017,1e-06,8950.979004,1e-06,10913.39172,1e-06,12998.63224,
13.25,23336.86648,13.25,32877.84569,13.25,40454.45719,13.25,65515.05873,
13.8125,27378.92202,13.8125,38063.33396,13.8125,46850.40381,13.8125,77029.81321,
14.375,33063.74536,14.375,45349.63516,14.375,55837.64637,14.375,93225.11006,
14.9375,41647.27722,14.9375,56342.68768,14.9375,69396.98146,14.9375,117679.0883,
15.5,56103.85577,15.5,74845.59941,15.5,92219.33082,15.5,158865.3883,
16.625,178960.1974,16.625,231970.5536,16.625,286023.6582,16.625,508871.084,
16.90625,391077.1542,16.90625,503196.6939,16.90625,620563.9736,16.90625,1113160.506,
