"H2_x","H2_y","CH4_x","CH4_y","CO_x","CO_y","CO2_x","CO2_y"
1e-06,5165.568359,1e-06,9294.499023,1e-06,10489.83313,1e-06,12920.69038,
1,5110.760989,1,9340.446176,1,11417.94594,1,13844.94752,
5.9,6834.821988,5.9,12609.01688,5.9,15445.73964,5.9,20747.70957,
15.7,39383.39252,15.7,74474.09829,15.7,91723.01549,15.7,156191.0166,
