X , H2, CH4, CO, CO2 
5.019712001,20924555987.5,21024623466.3,40810639.0182,51000275.9735
5.080928001,19050082551.3,20970182156.6,40807568.1907,50998131.7515
5.142144001,17403124550.6,20915529471.9,40804823.9894,50996218.9498
5.203360001,15956126231.2,20860665934.9,40802347.7033,50994497.4971
5.264576001,14684877485.8,20805592022.3,40800101.4389,50992940.7946
5.325792001,13568108780.6,20750308170.0,40798055.6759,50991527.8477
5.387008001,12587135281.6,20694814778.2,40796185.5059,50990240.8555
5.448224001,11725544227.5,20639112215.9,40794469.3348,50989064.3618
5.509440001,10968920318.4,20583200824.6,40792888.275,50987984.841
5.570656001,10304604523.9,20527080921.8,40791425.7634,50986990.4301
5.631872001,9721482278.39,20470752803.8,40790067.2487,50986070.7045
5.693088001,9209797515.57,20414216748.5,40788799.987,50985216.5384
5.754304001,8760989434.51,20357473017.5,40787612.7771,50984419.9076
5.815520001,8367549263.49,20300521858.2,40786495.7998,50983673.7788
5.876736001,8022894626.35,20243363505.6,40785440.4488,50982971.9875
5.937952001,7721259408.7,20185998183.8,40784439.175,50982309.125
5.999168001,7457597281.72,20128426107.2,40783485.3905,50981680.474
6.060384001,7227497268.93,20070647482.0,40782573.3237,50981081.8996
6.121600001,7027109943.52,20012662507.0,40781697.9415,50980509.7968
6.182816001,6853083021.29,19954471374.5,40780854.8619,50979961.0269
6.244032001,6702505271.59,19896074271.2,40780040.2729,50979432.8581
6.305248001,6572857807.71,19837471378.8,40779250.8886,50978922.9379
6.366464001,6461971941.97,19778662874.6,40778483.8715,50978429.2335
6.427680001,6367992900.02,19719648932.0,40777736.7975,50977950.0082
6.488896001,6289348787.55,19660429721.1,40777007.6128,50977483.791
6.550112001,6224724289.96,19601005408.7,40776294.6013,50977029.3529
6.611328001,6173038665.06,19541376158.9,40775596.336,50976585.6694
6.672544001,6133427660.51,19481542133.5,40774911.7063,50976151.9475
6.733760001,6105229053.49,19421503491.6,40774239.841,50975727.5622
6.794976001,6087971570.65,19361260390.6,40773580.1259,50975312.0734
6.856192001,6081367003.0,19300812985.3,40772932.1873,50974905.2135
6.917408001,6085305383.65,19240161429.0,40772295.8728,50974506.8718
6.978624001,6099853147.89,19179305872.9,40771671.2834,50974117.1222
7.039840001,6125254244.81,19118246466.0,40771058.7351,50973736.1904
7.101056001,6161934218.92,19056983355.6,40770458.7866,50973364.4764
7.162272001,6210507330.17,18995516686.6,40769872.244,50973002.5576
7.223488001,6271786831.54,18933846601.9,40769300.1658,50972651.1911
7.284704001,6346798576.06,18871973241.6,40768743.9037,50972311.346
7.345920001,6436798180.92,18809896743.3,40768205.0987,50971984.1973
7.407136001,6543292036.0,18747617241.7,40767685.7228,50971671.1574
7.468352001,6668062508.19,18685134867.8,40767188.1098,50971373.8978
7.529568001,6813197763.18,18622449749.3,40766714.9953,50971094.3784
7.590784001,6981126703.86,18559562009.1,40766269.5411,50970834.8609
7.652000001,7174659609.74,18496471765.8,40765855.4456,50970597.9976
7.713216001,7397035157.39,18433179132.0,40765476.9408,50970386.8184
7.774432001,7651974608.7,18369684214.5,40765138.9029,50970204.8151
7.835648001,7943744073.56,18305987112.7,40764846.9394,50970056.0024
7.896864001,8277225888.65,18242087917.9,40764607.5141,50969945.0005
7.958080001,8658000306.77,18177986712.3,40764428.2621,50969877.2516
8.019296001,9092438863.39,18113683567.3,40764318.6811,50969859.4541
8.080512001,9587810982.63,18049178542.5,40764292.5339,50969901.0881
8.141728001,10152405606.3,17984471683.5,40764376.1557,50970019.6404
8.202944001,10795669881.3,17919563020.3,40764638.3195,50970259.3563
