"H2_x","H2_y","CH4_x","CH4_y","CO_x","CO_y","CO2_x","CO2_y"
1e-06,7945.749634,1e-06,9958.282349,1e-06,9488.253815,1e-06,12897.31582,
1,5165.59911,1,9302.034336,1,11385.61805,1,13819.56445,
5.9,7619.812171,5.9,12566.68,5.9,15413.5894,5.9,20724.63738,
15.7,58334.77945,15.7,77965.2978,15.7,96145.39946,15.7,163887.8956,
