X , H2, CH4, CO, CO2 
5.019712001,20903950819.0,20523469578.1,40682548.7581,50918802.1377
5.080928001,19031234990.2,20469954008.8,40680999.6953,50917721.5785
5.142144001,17385827136.6,20416256449.0,40679628.2617,50916765.6878
5.203360001,15940196166.7,20362377158.9,40678394.7451,50915907.9444
5.264576001,14670153701.0,20308316375.2,40677277.3599,50915133.2604
5.325792001,13554449346.7,20254074314.4,40676260.5811,50914430.6736
5.387008001,12574415131.6,20199651175.4,40675331.7478,50913791.1506
5.448224001,11713653147.1,20145047141.1,40674480.0133,50913206.933
5.509440001,10957761175.3,20090262380.7,40673695.9257,50912671.2551
5.570656001,10294091707.0,20035297051.5,40672971.2078,50912178.1936
5.631872001,9711540321.59,19980151300.2,40672298.5771,50911722.505
5.693088001,9200359885.05,19924825264.1,40671671.6804,50911299.672
5.754304001,8751997458.73,19869319072.3,40671084.9166,50910905.6705
5.815520001,8358951189.71,19813632847.1,40670533.3803,50910536.9878
5.876736001,8014644788.16,19757766704.3,40670012.7732,50910190.5483
5.937952001,7713317491.33,19701720754.2,40669519.3155,50909863.6262
5.999168001,7449927673.27,19645495102.3,40669049.7255,50909553.8931
6.060384001,7220068487.12,19589089850.1,40668601.1162,50909259.2732
6.121600001,7019894128.87,19532505095.0,40668170.9732,50908977.9658
6.182816001,6846055488.42,19475740931.6,40667757.1079,50908708.4057
6.244032001,6695644111.57,19418797451.4,40667357.6102,50908449.2118
6.305248001,6566143535.13,19361674743.2,40666970.8448,50908199.2283
6.366464001,6455387180.86,19304372894.0,40666595.3917,50907957.4323
6.427680001,6361522103.81,19246891988.4,40666230.0396,50907722.9567
6.488896001,6282977988.46,19189232109.6,40665873.7628,50907495.0683
6.550112001,6218440873.81,19131393339.0,40665525.7062,50907273.1598
6.611328001,6166831167.91,19073375756.7,40665185.1426,50907056.679
6.672544001,6127285583.92,19015179441.5,40664851.5338,50906845.2783
6.733760001,6099142695.32,18956804470.9,40664524.4383,50906638.6278
6.794976001,6081931868.86,18898250921.4,40664203.5494,50906436.5089
6.856192001,6075365389.77,18839518868.5,40663888.6817,50906238.7923
6.917408001,6079333647.66,18780608386.4,40663579.7494,50906045.3952
6.978624001,6093903302.51,18721519548.7,40663276.8141,50905856.3876
7.039840001,6119318400.03,18662252427.6,40662980.0296,50905671.8703
7.101056001,6156004455.08,18602807094.4,40662689.6749,50905492.0437
7.162272001,6204575571.47,18543183619.5,40662406.1538,50905317.1996
7.223488001,6265844717.32,18483382071.8,40662129.9883,50905147.6974
7.284704001,6340837327.78,18423402519.1,40661861.8617,50904984.0438
7.345920001,6430808462.87,18363245027.8,40661602.5907,50904826.8177
7.407136001,6537263807.41,18302909662.9,40661353.1608,50904676.7254
7.468352001,6661984864.47,18242396487.3,40661114.7386,50904534.6041
7.529568001,6807058763.88,18181705562.5,40660888.6938,50904401.4409
7.590784001,6974913184.55,18120836947.5,40660676.5899,50904278.3197
7.652000001,7168356974.96,18059790698.8,40660480.2948,50904166.622
7.713216001,7390627151.37,17998566870.5,40660301.9168,50904067.8421
7.774432001,7645443060.36,17937165513.1,40660143.8961,50903983.7284
7.835648001,7937068611.77,17875586673.9,40660009.048,50903916.2994
7.896864001,8270383623.32,17813830395.8,40659900.6334,50903867.8586
7.958080001,8650965470.87,17751896717.2,40659822.6325,50903841.2589
8.019296001,9085182410.31,17689785671.1,40659780.3405,50903840.1808
8.080512001,9580300132.59,17627497284.6,40659782.6514,50903870.6265
8.141728001,10144603334.9,17565031577.8,40659850.0706,50903945.9407
8.202944001,10787534342.2,17502388562.7,40660043.7078,50904104.9775
8.264160001,11519851097.9,17439568242.8,40660570.7468,50904478.3083
8.325376001,12353807168.8,17376570610.8,40662168.1698,50905528.7916
8.386592001,13303356773.9,17313395648.2,40667500.3289,50908928.023
8.447808001,14384388269.7,17250043322.7,40686249.0671,50920748.2915
8.509024001,15614989997.8,17186513587.2,40753653.7027,50963088.7766
8.570240001,17015752942.5,17122806376.9,40998041.0939,51116422.8924
8.631456001,18610115262.7,17058921606.5,41886797.9622,51673844.5878
8.692672001,20424754460.3,16994859165.7,45122305.2858,53702898.4275
8.753888001,22490033739.3,16930618909.0,56905308.1174,61092001.601
8.815104001,24840509995.6,16866200626.9,99821482.6201,88004377.2709
8.876320001,26813425963.0,16793258395.8,173338119.0,134106086.188
8.937536001,27007821054.0,16694907739.2,180802638.5,138787056.125
8.998752001,25383128052.0,16570663899.2,118696626.5,99840799.25
9.059968001,22965096736.8,16432867211.8,62096631.1277,64347448.8271
9.121184001,20839766295.6,16294887703.3,46544752.1479,54594923.5763
9.182400001,18972023109.3,16156731201.8,42273727.8668,51916506.4596
9.243616001,17330616335.3,16018398116.9,41099880.4394,51180305.5122
9.304832001,15888082215.7,15879888819.0,40776428.9113,50977389.1848
9.366048001,14620284567.7,15741203652.0,40686525.2146,50920938.0057
9.427264001,13506010937.0,15602342938.7,40660808.7302,50904746.7906
9.488480001,12526617667.2,15463306983.6,40652774.3491,50899651.665
9.549696001,11665717950.9,15324096075.8,40649647.0689,50897640.6313
9.610912001,10908907642.1,15184710490.8,40647913.1299,50896509.417
9.672128001,10243524242.4,15045150491.8,40646602.1638,50895648.7833
9.733344001,9658435029.83,14905416331.8,40645442.7376,50894887.84
9.794560001,9143850783.37,14765508254.3,40644355.9556,50894176.5766
9.855776001,8691161987.5,14625426495.2,40643316.2715,50893498.4583
9.916992001,8292794775.99,14485171283.0,40642313.2671,50892846.5109
9.978208001,7942084204.18,14344742840.2,40641341.0849,50892216.6739
10.039424001,7633162729.73,14204141383.8,40640395.4794,50891605.9482
10.100640001,7360862035.52,14063367126.4,40639472.9362,50891011.7961
10.161856001,7120626552.27,13922420276.3,40638570.4651,50890432.116
10.223072001,6908437233.72,13781301038.2,40637685.3997,50889864.9872
10.284288001,6720744309.04,13640009614.1,40636815.3402,50889308.6977
10.345504001,6554407887.27,13498546202.8,40635957.9536,50888761.6019
10.406720001,6406645420.0,13356911001.3,40635110.401,50888221.7597
10.467936001,6274985143.13,13215104204.4,40634267.315,50887685.6094
10.529152001,6157224718.74,13073126005.3,40633413.7038,50887143.6113
10.590368001,6051394385.11,12930976595.8,40632498.8027,50886563.6029
10.651584001,5955723998.21,12788656166.3,40631341.2762,50885831.0473
10.712800001,5868613413.28,12646164906.6,40629283.7905,50884531.0225
10.774016001,5788605710.84,12503503005.5,40623934.9164,50881154.2528
10.835232001,5735244105.52,12401451236.4,40614746.9806,50875355.2203
10.896448001,5709500356.91,12346934666.0,40611882.9514,50873547.5996
10.957664001,5686098358.82,12292330976.8,40610627.2325,50872755.0821
11.018880001,5664832519.92,12237640195.9,40610001.9188,50872360.502
11.080096001,5645516024.09,12182862350.4,40609623.8812,50872122.0582
11.141312001,5627979188.43,12127997467.3,40609342.9891,50871944.9964
11.202528001,5612067971.91,12073045573.6,40609100.3904,50871792.1684
11.263744001,5597642621.48,12018006696.3,40608872.994,50871648.9954
11.324960001,5584576443.72,11962880862.3,40608651.709,50871509.7385
11.386176001,5572754691.37,11907668098.5,40608432.962,50871372.1332
11.447392001,5562073554.76,11852368431.8,40608215.314,50871235.2691
11.508608001,5552439249.43,11796981889.0,40607998.1787,50871098.7722
11.569824001,5543767191.8,11741508497.2,40607781.3035,50870962.4797
11.631040001,5535981255.83,11685948283.1,40607564.5695,50870826.3136
11.692256001,5529013103.86,11630301273.7,40607347.9122,50870690.2301
11.753472001,5522801586.01,11574567495.8,40607131.291,50870554.2008
11.814688001,5517292202.75,11518746976.3,40606914.6658,50870418.2012
11.875904001,5512436625.85,11462839742.2,40606698.0242,50870282.2176
11.937120001,5508192273.63,11406845820.3,40606481.3405,50870146.2337
11.998336001,5504521936.71,11350765237.7,40606264.5971,50870010.2365
12.059552001,5501393450.99,11294598021.1,40606047.7785,50869874.2154
12.120768001,5498779414.9,11238344197.7,40605830.8722,50869738.1609
12.181984001,5496656948.63,11182003794.4,40605613.8676,50869602.0656
12.243200001,5495007492.96,11125576838.2,40605396.7569,50869465.9234
12.304416001,5493816646.23,11069063356.1,40605179.5357,50869329.7303
12.365632001,5493074037.67,11012463375.2,40604962.1791,50869193.4763
12.426848001,5492773236.33,10955776922.5,40604744.7107,50869057.1679
12.488064001,5492911694.49,10899004025.2,40604527.1192,50868920.801
12.549280001,5493490725.31,10842144710.3,40604309.4053,50868784.3761
12.610496001,5494515514.36,10785199004.9,40604091.5718,50868647.8951
12.671712001,5495995165.2,10728166936.3,40603873.6233,50868511.3612
12.732928001,5497942779.39,10671048531.6,40603655.5671,50868374.7791
12.794144001,5500375571.62,10613843818.0,40603437.4132,50868238.1556
12.855360001,5503315021.06,10556552822.7,40603219.1548,50868101.4923
12.916576001,5506787060.11,10499175572.9,40603000.8269,50867964.8054
12.977792001,5510822302.3,10441712096.0,40602782.4356,50867828.1027
13.039008001,5515456311.44,10384162419.1,40602563.9977,50867691.3962
13.100224001,5520729914.11,10326526569.5,40602345.533,50867554.6999
13.161440001,5526689558.52,10268804574.5,40602127.0636,50867418.0298
13.222656001,5533387722.78,10210996461.5,40601908.6154,50867281.4039
13.283872001,5540883376.1,10153102257.8,40601690.218,50867144.8429
13.345088001,5549242497.09,10095121990.6,40601471.8881,50867008.3645
13.406304001,5558538653.67,10037055687.3,40601253.68,50866871.9999
13.467520001,5568853649.66,9978903375.22,40601035.6248,50866735.7745
13.528736001,5580278243.74,9920665081.65,40600817.7654,50866599.7187
13.589952001,5592912947.22,9862340833.92,40600600.148,50866463.866
13.651168001,5606868907.36,9803930659.31,40600382.822,50866328.252
13.712384001,5622268884.3,9745434585.1,40600165.8371,50866192.9126
13.773600001,5639248330.04,9686852638.55,40599949.2354,50866057.8794
13.834816001,5657956578.91,9628184846.87,40599733.0308,50865923.1661
13.896032001,5678558160.12,9569431237.25,40599517.1566,50865788.734
13.957248001,5701234243.82,9510591836.85,40599301.2238,50865654.3695
14.018464001,5726184233.43,9451666672.74,40599084.4287,50865519.5381
14.079680001,5753627518.25,9392655771.96,40598864.2681,50865382.6769
14.140896001,5783805401.67,9333559161.48,40598634.3054,50865239.7211
14.202112001,5816983222.06,9274376868.17,40598377.9432,50865080.1754
14.263328001,5853452684.87,9215108918.82,40598052.6293,50864877.1161
14.324544001,5893534426.44,9155755340.12,40597549.5376,50864561.6702
14.385760001,5937580832.14,9096316158.61,40596590.6406,50863957.8637
14.446976001,5985979133.58,9036791400.74,40594465.9606,50862616.3041
14.508192001,6039154812.0,8977181092.78,40589362.8342,50859389.6133
14.569408001,6059877841.58,8956191141.2,40586994.3892,50857891.6627
14.630624001,6079921107.17,8938461117.13,40585940.261,50857225.3752
14.691840001,6102456161.26,8920693775.72,40585358.4851,50856858.0767
14.753056001,6127571006.32,8902889119.17,40585029.9459,50856651.1046
14.814272001,6155363718.22,8885047149.68,40584837.3496,50856530.2337
14.875488001,6185942829.22,8867167869.39,40584717.9175,50856455.7379
14.936704001,6219427751.79,8849251280.45,40584638.0586,50856406.3629
14.997920001,6255949244.82,8831297384.93,40584579.8099,50856370.7445
15.059136001,6295649924.27,8813306184.91,40584533.5773,50856342.8151
15.120352001,6338684820.0,8795277682.39,40584494.249,50856319.3442
15.181568001,6385221981.14,8777211879.37,40584459.1146,50856298.6216
15.242784001,6435443132.26,8759108777.77,40584426.7638,50856279.7498
15.304000001,6489544383.0,8740968379.51,40584396.4499,50856262.2758
15.365216001,6547736993.77,8722790686.44,40584367.8226,50856245.9776
15.426432001,6610248200.71,8704575700.34,40584340.7267,50856230.763
15.487648001,6677322102.97,8686323422.99,40584315.1178,50856216.6104
15.548864001,6749220615.87,8668033856.07,40584291.0137,50856203.538
15.610080001,6826224493.58,8649707001.22,40584268.4681,50856191.5872
15.671296001,6908634425.42,8631342860.02,40584247.5575,50856180.8144
15.732512001,6996772209.97,8612941433.98,40584228.3734,50856171.2862
15.793728001,7090982011.58,8594502724.54,40584211.0188,50856163.0771
15.854944001,7191631704.3,8576026733.05,40584195.6067,50856156.2689
15.916160001,7299114308.28,8557513460.81,40584182.2703,50856150.9472
15.977376001,7413849524.42,8538962909.02,40584171.126,50856147.21
16.038592001,7536285373.23,8520375078.78,40584162.3212,50856145.157
16.099808001,7666899944.19,8501749971.11,40584156.0071,50856144.8965
16.161024001,7806203262.58,8483087586.91,40584152.3447,50856146.5439
16.222240001,7954739281.01,8464387926.99,40584151.5063,50856150.2225
16.283456001,8113088003.38,8445650992.03,40584153.6755,50856156.064
16.344672001,8281867749.7,8426876782.59,40584159.0488,50856164.2089
16.405888001,8461737570.4,8408065299.09,40584167.8361,50856174.8077
16.467104001,8653399819.81,8389216541.83,40584180.2623,50856188.0214
16.528320001,8857602898.63,8370330510.93,40584196.5696,50856204.0236
16.589536001,9075144176.27,8351407206.37,40584217.0315,50856222.9997
16.650752001,9306873104.33,8332446627.95,40584241.9237,50856245.1587
16.711968001,9553694533.56,8313448775.3,40584271.5783,50856270.7293
16.773184001,9816572246.99,8294413647.84,40584306.3753,50856299.9766
16.834400001,10096532723.3,8275341244.79,40584346.7798,50856333.2204
16.895616001,10394669144.9,8256231565.15,40584393.4,50856370.8718
16.956832001,10712145666.5,8237084607.69,40584447.0944,50856413.4995
17.018048001,11050201961.1,8217900370.92,40584509.1713,50856461.9546
17.079264001,11410158060.3,8198678853.09,40584581.7593,50856517.6008
17.140480001,11793419508.6,8179420052.17,40584668.4995,50856582.7458
17.201696001,12201482851.9,8160123965.81,40584775.836,50856661.4443
17.262912001,12635941481.3,8140790591.35,40584915.4355,50856760.995
17.324128001,13098491854.4,8121419925.8,40585108.6546,50856894.7483
17.385344001,13590940119.8,8102011965.77,40585394.9835,50857087.3249
17.446560001,14115209169.8,8082566707.51,40585847.7149,50857384.3864
17.507776001,14673346148.3,8063084146.85,40586603.2597,50857870.8711
17.568992001,15267530444.9,8043564279.16,40587915.8911,50858705.0582
17.630208001,15900082204.6,8024007099.36,40590259.9975,50860182.1911
17.691424001,16573471387.4,8004412601.86,40594521.07,50862853.3147
17.752640001,17290327412.7,7984780780.53,40602352.4361,50867747.2426
17.813856001,18053449426.8,7965111628.67,40616841.5758,50876785.1542
17.875072001,18865817232.4,7945405138.98,40643754.6921,50893554.9928
17.936288001,19730602924.6,7925661303.51,40693861.3719,50924757.9128
17.997504001,20651183276.5,7905880113.59,40787276.6278,50982910.0165
18.058720001,21631152924.7,7886061559.84,40961571.2201,51091388.7399
18.119936001,22674338405.7,7866205632.03,41286920.3292,51293858.7031
18.181152001,23784813097.3,7846312319.05,41894398.869,51671877.6633
18.242368001,24966913123.8,7826381608.8,43028832.5409,52377781.5885
18.303584001,26225254287.3,7806413488.02,45147515.0503,53696108.6564
18.364800001,27564750091.2,7786407942.02,49104595.8936,56158329.3556
18.426016001,28990630924.7,7766364954.29,56495486.9131,60757143.7656
18.487232001,30508464485.2,7746284505.79,70300158.0231,69346754.2392
18.548448001,32124177516.0,7726166573.57,96084709.5619,85390510.0732
18.609664001,34302688234.0,7721573179.91,157422453.25,123678925.688
18.670880001,38256471875.0,7784459142.47,277727088.25,199158819.188
18.732096001,41454995568.0,7836653429.38,369577421.0,256795921.625
18.793312001,43898251941.0,7878153986.78,432959022.25,296580503.313
18.854528001,45586235485.0,7908959305.0,467861119.25,318505279.75
18.915744001,46518942544.0,7929068418.78,474276600.25,322565410.063
18.976960001,46696371327.0,7938480906.91,452202012.0,308758498.938
