BeamScreen,H2,CO,CH4,CO2,BeamScreen_Cold,H2,CO,CH4,CO2,,,NEG_after_machine_conditioning ,H2,CO,CH4,CO2,,Module,H2,CH4,CO,CO2,,,
,,,,,,,,,,,,Qth,7.06E-11,7.06E-14,7.06E-14,7.06E-14,OutGassing Rate (Torrl/s cm2),7.06E-12,3.53E-15,1.76E-14,1.76E-14,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
unknown,H2,CO,CH4,CO2,SpareChambers,H2,CH4,CO,CO2,,,,,,,,,,,,,,,,
Sticking Probability,5.00E-03,1.00E-12,5.00E-01,5.00E-01,alpha,2.00E-12,2.00E-12,2.00E-12,2.00E-12,,,,,,,,,,,,,,,,
Eta_i (molecules/ion),5.40E-02,5.40E-02,5.40E-02,5.40E-02,eta_ion,0.542818964,0.541818964,0.541818964,0.541818964,,,,,,,Transition area,,,,,,,,,
,4.00E-03,5.00E-03,7.00E-03,1.10E-02,,0.036121264,0.055181896,0.072242528,0.108363793,,,,,,,Valve,H2,CH4,CO,CO2,Flange,H2,CH4,CO,CO2
,2.50E-02,2.90E-02,2.90E-02,3.30E-02,,0.25284885,0.288970114,0.289970114,0.325091378,,,,,,,alpha,1.00E-07,0,1.00E-07,1.00E-07,alpha,2.00E-12,2.00E-12,2.00E-12,2.00E-12
,1.40E-02,1.40E-02,1.40E-02,1.40E-02,,0.144485057,0.144485057,0.144485057,0.145485057,,,,,,,eta_ion,0.541818964,0.541818964,0.541818964,0.541818964,eta_ion,0.542818964,0.541818964,0.541818964,0.541818964
Eta_e (molecules/electron),3.30E-05,8.30E-07,1.70E-05,1.70E-05,eta_e,0.001774173,6.46E-05,0.000452095,0.000387369,,,,,,,,0.036121264,0.054181896,0.072242528,0.108363793,,0.036121264,0.055181896,0.072242528,0.108363793
Eta_Ph (molecules/photon),2.50E-07,2.50E-09,1.20E-08,1.20E-08,eta_ph,0.00015,4.00E-06,1.50E-05,2.50E-05,,,,,,,,0.25284885,0.288970114,0.288970114,0.325091378,,0.25284885,0.288970114,0.289970114,0.325091378
LinearPumping (L/s),0,0,0,0,Cbs,0,0,0,0,,,,,,,,0.144485057,0.144485057,0.144485057,0.144485057,,0.144485057,0.144485057,0.144485057,0.145485057
OutGassing Rate (Torrl/s cm2),5.00E-14,3.00E-17,1.00E-14,1.00E-14,Qth,5.00E-14,3.00E-17,1.00E-14,1.00E-14,,,,,,,eta_e,0.00177,6.46E-05,0.000452,0.000387,eta_e,0.001774173,6.46E-05,0.000452095,0.000387369
,,,,,,,,,,,,,,,,eta_ph,0.00015,4.00E-06,1.50E-05,2.50E-05,eta_ph,0.00015,4.00E-06,1.50E-05,2.50E-05
,,,,,,,,,,,,,,,,Cbs,0,0,0,0,Cbs,0,0,0,0
,,,,,,,,,,,,,,,,Qth,1.00E-12,5.00E-15,1.00E-14,5.00E-15,Qth,7.06E-11,7.06E-14,7.06E-14,7.06E-14
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Close to experiment,,,,,,,,,,,,,,,,,,,,,,,,,
CT2_dish_assembly_part2,H2,CH4,CO,CO2,compensator_3.2m,H2,CH4,CO,CO2,,,,,,,,,,,,,,,,
alpha,2.00E-12,2.00E-12,2.00E-12,2.00E-12,alpha,2.00E-12,2.00E-12,2.00E-12,2.00E-12,,,,,,,,,,,,,,,,
eta_ion,0.54,0.54,0.54,0.54,eta_ion,0.054,0.054,0.054,0.054,,,,,,,,,,,,,,,,
,0.04,0.05,0.07,0.11,,0.004,0.005,0.007,0.011,,,,,,,,,,,,,,,,
,0.25,0.29,0.29,0.33,,0.025,0.029,0.029,0.033,,,,,,,,,,,,,,,,
,0.14,0.14,0.14,0.14,,0.014,0.014,0.014,0.014,,,,,,,,,,,,,,,,
eta_e,0.0018,6.50E-05,0.00045,0.00039,eta_e,3.30E-05,8.30E-07,1.70E-05,1.70E-05,,,,,,,,,,,,,,,,
eta_ph,0.00015,4.00E-06,1.50E-05,2.50E-05,eta_ph,2.50E-07,2.90E-09,1.20E-08,1.20E-08,,,,,,,,,,,,,,,,
Cbs,0,0,0,0,Cbs,0,0,0,0,,,,,,,,,,,,,,,,
Qth,4.29E-12,1.79E-17,1.79E-17,1.79E-17,Qth,4.23E-12,2.11E-15,1.06E-14,1.06E-14,,,,,,,,,,,,,,,,
Bellows,H2,CH4,CO,CO2,,,,,,,,,,,,,,,,,,,,,
alpha,1.00E-07,0,1.00E-07,1.00E-07,,,,,,,,,,,,,,,,,,,,,
eta_ion,0.541818964,0.541818964,0.541818964,0.541818964,,,,,,,,,,,,,,,,,,,,,
,0.036121264,0.054181896,0.072242528,0.108363793,,,,,,,,,,,,,,,,,,,,,
,0.25284885,0.288970114,0.288970114,0.325091378,,,,,,,,,,,,,,,,,,,,,
,0.144485057,0.144485057,0.144485057,0.144485057,,,,,,,,,,,,,,,,,,,,,
eta_e,0.001774173,6.46E-05,0.000452095,0.000387369,,,,,,,,,,,,,,,,,,,,,
eta_ph,0.00015,4.00E-06,1.50E-05,2.50E-05,,,,,,,,,,,,,,,,,,,,,
Cbs,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Qth,1.00E-12,5.00E-15,1.00E-14,5.00E-15,,,,,,,,,,,,,,,,,,,,,
