Dose,DOS C/mm2,DOSe/cm2,H2,CH4,H2O,CO,C2H6,CO2
0.00058917,5.89E-07,3.55E+14,0.26061,0.013296,0.15458,0.037529,0.0095594,0.065854
0.0005979,5.98E-07,3.60E+14,0.242,0.012899,0.15344,0.038577,0.0094391,0.064302
0.00060723,6.07E-07,3.66E+14,0.24994,0.013182,0.15534,0.034377,0.010068,0.064973
0.00061657,6.17E-07,3.71E+14,0.24964,0.013193,0.14032,0.033774,0.0089374,0.063986
0.00062661,6.27E-07,3.77E+14,0.24153,0.012733,0.13938,0.032162,0.0092292,0.06725
0.00063585,6.36E-07,3.83E+14,0.24334,0.01215,0.14483,0.032412,0.0093912,0.063171
0.00064498,6.45E-07,3.89E+14,0.24231,0.012501,0.14417,0.041119,0.0092368,0.065559
0.0006538,6.54E-07,3.94E+14,0.24043,0.012323,0.13842,0.034357,0.0094768,0.063292
0.00066292,6.63E-07,3.99E+14,0.23986,0.010803,0.13827,0.031767,0.0091189,0.060686
0.00067195,6.72E-07,4.05E+14,0.24944,0.011775,0.12684,0.036089,0.0089579,0.058617
0.00068091,6.81E-07,4.10E+14,0.2386,0.01231,0.12063,0.037845,0.010149,0.058877
0.00068978,6.90E-07,4.16E+14,0.23458,0.012709,0.12781,0.033701,0.0088196,0.059833
0.00069949,6.99E-07,4.21E+14,0.24344,0.011416,0.1328,0.036563,0.0092059,0.06137
0.00070838,7.08E-07,4.27E+14,0.22882,0.011811,0.12918,0.036188,0.0077974,0.062301
0.00071731,7.17E-07,4.32E+14,0.24611,0.010588,0.12476,0.036889,0.0088124,0.058905
0.00072789,7.28E-07,4.38E+14,0.24702,0.01125,0.12156,0.039447,0.0083851,0.058736
0.00073844,7.38E-07,4.45E+14,0.23226,0.01042,0.11575,0.035948,0.0092295,0.056916
0.00074843,7.48E-07,4.51E+14,0.23794,0.010573,0.11776,0.037618,0.0091463,0.060007
0.00075854,7.59E-07,4.57E+14,0.23543,0.0093927,0.11717,0.039194,0.0087459,0.056404
0.00076867,7.69E-07,4.63E+14,0.23263,0.0097475,0.11992,0.03573,0.0088037,0.058146
0.00077917,7.79E-07,4.69E+14,0.22822,0.010308,0.11552,0.035443,0.0085738,0.056961
0.00078972,7.90E-07,4.76E+14,0.23009,0.010174,0.11476,0.035643,0.0084235,0.052443
0.00080027,8.00E-07,4.82E+14,0.23179,0.0095864,0.10729,0.033982,0.0075283,0.05205
0.00081082,8.11E-07,4.88E+14,0.2303,0.01036,0.11093,0.035538,0.0085706,0.054341
0.00082081,8.21E-07,4.94E+14,0.22102,0.0095336,0.11342,0.038401,0.0088722,0.057127
0.00083129,8.31E-07,5.01E+14,0.2214,0.0096962,0.1042,0.035123,0.0088795,0.055218
0.00084127,8.41E-07,5.07E+14,0.2217,0.0090112,0.10659,0.033647,0.0090405,0.055856
0.00085194,8.52E-07,5.13E+14,0.21972,0.0086697,0.10426,0.037644,0.0083972,0.050179
0.00086305,8.63E-07,5.20E+14,0.21848,0.0097773,0.10392,0.031248,0.0081678,0.060775
0.0008739,8.74E-07,5.26E+14,0.21462,0.0091624,0.098047,0.033419,0.0092359,0.049873
0.00088445,8.84E-07,5.33E+14,0.21652,0.0090862,0.093631,0.037373,0.0078112,0.049766
0.000895,8.95E-07,5.39E+14,0.21505,0.0085163,0.095113,0.034912,0.008711,0.047158
0.00090499,9.05E-07,5.45E+14,0.22263,0.0088895,0.096701,0.034275,0.0076396,0.05186
0.00091565,9.16E-07,5.52E+14,0.2108,0.0092807,0.099899,0.036755,0.0076431,0.049535
0.00092641,9.26E-07,5.58E+14,0.2066,0.0084914,0.090181,0.032199,0.0075917,0.046623
0.00093661,9.37E-07,5.64E+14,0.21366,0.0087837,0.098506,0.033018,0.0074452,0.05412
0.0009473,9.47E-07,5.71E+14,0.21621,0.0088956,0.089746,0.037208,0.0070604,0.045405
0.00095855,9.59E-07,5.77E+14,0.2078,0.0088803,0.091659,0.03578,0.0080365,0.049653
0.00096926,9.69E-07,5.84E+14,0.21591,0.0092467,0.088374,0.032078,0.0081198,0.048136
