%,,,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2
,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in_eta_i = [,,%,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.05,0.05,0.05,0.05,0.54,0.54,0.54,0.54,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.54,0.54,0.54,0.54,0.05,0.05,0.05,0.05,0.54,0.54,0.54,0.54,0.05,0.05,0.05,0.05,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.05,0.05,0.05,0.05,0.54,0.54,0.54,0.54,0.05,0.05,0.05,0.05,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.05,0.05,0.05,0.05,0.54,0.54,0.54,0.54,0.05,0.05,0.05,0.05,0.54,0.54,0.54,0.54,0.05,0.05,0.05,0.05,0.54,0.54,0.54,0.54,0.05,0.05,0.05,0.05,0.54,0.54,0.54,0.54,0.05,0.05,0.05,0.05,0.54,0.54,0.54,0.54,0.054181896,0.054181896,0.054181896,0.054181896,0.54,0.54,0.54,0.54,0.054181896,0.054181896,0.054181896,0.054181896,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.325091378,0.325091378,0.325091378,0.325091378,0.325091378,0.325091378,0.325091378,0.325091378,0.325091378,0.325091378,0.325091378,0.325091378,0.325091378,0.325091378,0.325091378,0.325091378,0.325091378,0.325091378,0.325091378,0.325091378
,,%,0.02,0.03,0.04,0.07,0.02,0.03,0.04,0.07,0.02,0.03,0.04,0.07,0.02,0.03,0.04,0.07,0.02,0.03,0.04,0.07,0.02,0.03,0.04,0.07,0.02,0.03,0.04,0.07,0.02,0.03,0.04,0.07,0.02,0.03,0.04,0.07,0.02,0.03,0.04,0.07,0.02,0.03,0.04,0.07,0.02,0.03,0.04,0.07,0.04,0.05,0.07,0.11,0.04,0.05,0.07,0.11,0,0.01,0.01,0.01,0.04,0.05,0.07,0.11,0,0.01,0.01,0.01,0,0.01,0.01,0.01,0.04,0.05,0.07,0.11,0,0.01,0.01,0.01,0.04,0.05,0.07,0.11,0,0.01,0.01,0.01,0.04,0.05,0.07,0.11,0.04,0.05,0.07,0.11,0.04,0.05,0.07,0.11,0.04,0.05,0.07,0.11,0,0.01,0.01,0.01,0.04,0.05,0.07,0.11,0,0.01,0.01,0.01,0.04,0.05,0.07,0.11,0.04,0.05,0.07,0.11,0.04,0.05,0.07,0.11,0,0.01,0.01,0.01,0.04,0.05,0.07,0.11,0,0.01,0.01,0.01,0.04,0.05,0.07,0.11,0,0.01,0.01,0.01,0.04,0.05,0.07,0.11,0,0.01,0.01,0.01,0.04,0.05,0.07,0.11,0,0.01,0.01,0.01,0.04,0.05,0.07,0.11,0.003612126,0.00541819,0.007224253,0.010836379,0.04,0.05,0.07,0.11,0.003612126,0.00541819,0.007224253,0.010836379,0.04,0.05,0.07,0.11,0.04,0.05,0.07,0.11,0.04,0.05,0.07,0.11,0.021672759,0.032509138,0.043345517,0.065018276,0.021672759,0.032509138,0.043345517,0.065018276,0.021672759,0.032509138,0.043345517,0.065018276,0.021672759,0.032509138,0.043345517,0.065018276,0.021672759,0.032509138,0.043345517,0.065018276
,,%,0.15,0.17,0.17,0.2,0.15,0.17,0.17,0.2,0.15,0.17,0.17,0.2,0.15,0.17,0.17,0.2,0.15,0.17,0.17,0.2,0.15,0.17,0.17,0.2,0.15,0.17,0.17,0.2,0.15,0.17,0.17,0.2,0.15,0.17,0.17,0.2,0.15,0.17,0.17,0.2,0.15,0.17,0.17,0.2,0.15,0.17,0.17,0.2,0.25,0.29,0.29,0.33,0.25,0.29,0.29,0.33,0.03,0.03,0.03,0.03,0.25,0.29,0.29,0.33,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.25,0.29,0.29,0.33,0.03,0.03,0.03,0.03,0.25,0.29,0.29,0.33,0.03,0.03,0.03,0.03,0.25,0.29,0.29,0.33,0.25,0.29,0.29,0.33,0.25,0.29,0.29,0.33,0.25,0.29,0.29,0.33,0.03,0.03,0.03,0.03,0.25,0.29,0.29,0.33,0.03,0.03,0.03,0.03,0.25,0.29,0.29,0.33,0.25,0.29,0.29,0.33,0.25,0.29,0.29,0.33,0.03,0.03,0.03,0.03,0.25,0.29,0.29,0.33,0.03,0.03,0.03,0.03,0.25,0.29,0.29,0.33,0.03,0.03,0.03,0.03,0.25,0.29,0.29,0.33,0.03,0.03,0.03,0.03,0.25,0.29,0.29,0.33,0.03,0.03,0.03,0.03,0.25,0.29,0.29,0.33,0.025284885,0.028897011,0.028897011,0.032509138,0.25,0.29,0.29,0.33,0.025284885,0.028897011,0.028897011,0.032509138,0.25,0.29,0.29,0.33,0.25,0.29,0.29,0.33,0.25,0.29,0.29,0.33,0.15170931,0.173382068,0.173382068,0.195054827,0.15170931,0.173382068,0.173382068,0.195054827,0.15170931,0.173382068,0.173382068,0.195054827,0.15170931,0.173382068,0.173382068,0.195054827,0.15170931,0.173382068,0.173382068,0.195054827
,,%,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.01,0.01,0.01,0.01,0.14,0.14,0.14,0.14,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.14,0.14,0.14,0.14,0.01,0.01,0.01,0.01,0.14,0.14,0.14,0.14,0.01,0.01,0.01,0.01,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.01,0.01,0.01,0.01,0.14,0.14,0.14,0.14,0.01,0.01,0.01,0.01,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.01,0.01,0.01,0.01,0.14,0.14,0.14,0.14,0.01,0.01,0.01,0.01,0.14,0.14,0.14,0.14,0.01,0.01,0.01,0.01,0.14,0.14,0.14,0.14,0.01,0.01,0.01,0.01,0.14,0.14,0.14,0.14,0.01,0.01,0.01,0.01,0.14,0.14,0.14,0.14,0.014448506,0.014448506,0.014448506,0.014448506,0.14,0.14,0.14,0.14,0.014448506,0.014448506,0.014448506,0.014448506,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.086691034,0.086691034,0.086691034,0.086691034,0.086691034,0.086691034,0.086691034,0.086691034,0.086691034,0.086691034,0.086691034,0.086691034,0.086691034,0.086691034,0.086691034,0.086691034,0.086691034,0.086691034,0.086691034,0.086691034
in_eta_p_i = [,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in_eta_e = [,,%,0.00968,0.0000872,0.000417,0.000968,0.00968,0.0000872,0.000417,0.000968,0.00968,0.0000872,0.000417,0.000968,0.00968,0.0000872,0.000417,0.000968,0.00968,0.0000872,0.000417,0.000968,0.00968,0.0000872,0.000417,0.000968,0.00968,0.0000872,0.000417,0.000968,0.00968,0.0000872,0.000417,0.000968,0.00968,0.0000872,0.000417,0.000968,0.00968,0.0000872,0.000417,0.000968,0.00968,0.0000872,0.000417,0.000968,0.00968,0.0000872,0.000417,0.000968,0.00177,0.0000646,0.000452,0.000387,0.00177,0.0000646,0.000452,0.000387,0.0000333,0.000000833,0.0000167,0.0000167,0.00177,0.0000646,0.000452,0.000387,0.0000333,0.000000833,0.0000167,0.0000167,0.0000333,0.000000833,0.0000167,0.0000167,0.00177,0.0000646,0.000452,0.000387,0.0000333,0.000000833,0.0000167,0.0000167,0.00177,0.0000646,0.000452,0.000387,0.0000333,0.000000833,0.0000167,0.0000167,0.00177,0.0000646,0.000452,0.000387,0.00177,0.0000646,0.000452,0.000387,0.00177,0.0000646,0.000452,0.000387,0.00177,0.0000646,0.000452,0.000387,0.0000333,0.000000833,0.0000167,0.0000167,0.00177,0.0000646,0.000452,0.000387,0.0000333,0.000000833,0.0000167,0.0000167,0.00177,0.0000646,0.000452,0.000387,0.00177,0.0000646,0.000452,0.000387,0.00177,0.0000646,0.000452,0.000387,0.0000333,0.000000833,0.0000167,0.0000167,0.00177,0.0000646,0.000452,0.000387,0.0000333,0.000000833,0.0000167,0.0000167,0.00177,0.0000646,0.000452,0.000387,0.0000333,0.000000833,0.0000167,0.0000167,0.00177,0.0000646,0.000452,0.000387,0.0000333,0.000000833,0.0000167,0.0000167,0.00177,0.0000646,0.000452,0.000387,0.0000333,0.000000833,0.0000167,0.0000167,0.00177,0.0000646,0.000452,0.000387,3.33333E-05,8.33333E-07,1.66667E-05,1.66667E-05,0.00177,0.0000646,0.000452,0.000387,3.33333E-05,8.33333E-07,1.66667E-05,1.66667E-05,0.00177,0.0000646,0.000452,0.000387,0.00177,0.0000646,0.000452,0.000387,0.00177,0.0000646,0.000452,0.000387,0.009677306,8.71847E-05,0.000416573,0.000968421,0.009677306,8.71847E-05,0.000416573,0.000968421,0.009677306,8.71847E-05,0.000416573,0.000968421,0.009677306,8.71847E-05,0.000416573,0.000968421,0.009677306,8.71847E-05,0.000416573,0.000968421
in_eta_p_e = [,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in_eta_ph = [,,%,0.0000198,0.00000142,0.00000567,0.0000198,0.0000198,0.00000142,0.00000567,0.0000198,0.0000198,0.00000142,0.00000567,0.0000198,0.0000198,0.00000142,0.00000567,0.0000198,0.0000198,0.00000142,0.00000567,0.0000198,0.0000198,0.00000142,0.00000567,0.0000198,0.0000198,0.00000142,0.00000567,0.0000198,0.0000198,0.00000142,0.00000567,0.0000198,0.0000198,0.00000142,0.00000567,0.0000198,0.0000198,0.00000142,0.00000567,0.0000198,0.0000198,0.00000142,0.00000567,0.0000198,0.0000198,0.00000142,0.00000567,0.0000198,0.00015,0.000004,0.000015,0.000025,0.00015,0.000004,0.000015,0.000025,0.00000025,2.5E-09,1.25E-08,1.25E-08,0.00015,0.000004,0.000015,0.000025,0.00000025,2.5E-09,1.25E-08,1.25E-08,0.00000025,2.5E-09,1.25E-08,1.25E-08,0.00015,0.000004,0.000015,0.000025,0.00000025,2.5E-09,1.25E-08,1.25E-08,0.00015,0.000004,0.000015,0.000025,0.00000025,2.5E-09,1.25E-08,1.25E-08,0.00015,0.000004,0.000015,0.000025,0.00015,0.000004,0.000015,0.000025,0.00015,0.000004,0.000015,0.000025,0.00015,0.000004,0.000015,0.000025,0.00000025,2.5E-09,1.25E-08,1.25E-08,0.00015,0.000004,0.000015,0.000025,0.00000025,2.5E-09,1.25E-08,1.25E-08,0.00015,0.000004,0.000015,0.000025,0.00015,0.000004,0.000015,0.000025,0.00015,0.000004,0.000015,0.000025,0.00000025,2.5E-09,1.25E-08,1.25E-08,0.00015,0.000004,0.000015,0.000025,0.00000025,2.5E-09,1.25E-08,1.25E-08,0.00015,0.000004,0.000015,0.000025,0.00000025,2.5E-09,1.25E-08,1.25E-08,0.00015,0.000004,0.000015,0.000025,0.00000025,2.5E-09,1.25E-08,1.25E-08,0.00015,0.000004,0.000015,0.000025,0.00000025,2.5E-09,1.25E-08,1.25E-08,0.00015,0.000004,0.000015,0.000025,0.00000025,2.5E-09,1.25E-08,1.25E-08,0.00015,0.000004,0.000015,0.000025,0.00000025,2.5E-09,1.25E-08,1.25E-08,0.00015,0.000004,0.000015,0.000025,0.00015,0.000004,0.000015,0.000025,0.00015,0.000004,0.000015,0.000025,1.98425E-05,1.41732E-06,5.66929E-06,1.98425E-05,1.98425E-05,1.41732E-06,5.66929E-06,1.98425E-05,1.98425E-05,1.41732E-06,5.66929E-06,1.98425E-05,1.98425E-05,1.41732E-06,5.66929E-06,1.98425E-05,1.98425E-05,1.41732E-06,5.66929E-06,1.98425E-05
in_eta_p_ph = [,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in_Cbs = [,[l/s/m],%,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0
,,%,0,42.43,0,0,0,42.43,0,0,0,42.43,0,0,0,42.43,0,0,0,42.43,0,0,0,42.43,0,0,0,42.43,0,0,0,42.43,0,0,0,42.43,0,0,0,42.43,0,0,0,42.43,0,0,0,42.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.42640687,0,0,0,42.42640687,0,0,0,42.42640687,0,0,0,42.42640687,0,0,0,42.42640687,0,0
,,%,0,0,32.07,0,0,0,32.07,0,0,0,32.07,0,0,0,32.07,0,0,0,32.07,0,0,0,32.07,0,0,0,32.07,0,0,0,32.07,0,0,0,32.07,0,0,0,32.07,0,0,0,32.07,0,0,0,32.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.07134903,0,0,0,32.07134903,0,0,0,32.07134903,0,0,0,32.07134903,0,0,0,32.07134903,0
,,%,0,0,0,25.58,0,0,0,25.58,0,0,0,25.58,0,0,0,25.58,0,0,0,25.58,0,0,0,25.58,0,0,0,25.58,0,0,0,25.58,0,0,0,25.58,0,0,0,25.58,0,0,0,25.58,0,0,0,25.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.58408596,0,0,0,25.58408596,0,0,0,25.58408596,0,0,0,25.58408596,0,0,0,25.58408596
in_Qth = [,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1E-12,5E-15,1E-14,5E-15,1E-12,5E-15,1E-14,5E-15,5E-14,3E-17,1E-14,1E-14,1E-12,5E-15,1E-14,5E-15,5E-14,3E-17,1E-14,1E-14,5E-14,3E-17,1E-14,1E-14,1E-12,5E-15,1E-14,5E-15,5E-14,3E-17,1E-14,1E-14,1E-12,5E-15,1E-14,5E-15,5E-14,3E-17,1E-14,1E-14,5E-12,1E-13,1E-12,1E-12,5E-12,1E-13,1E-12,1E-12,5E-12,1E-13,1E-12,1E-12,5E-12,1E-13,1E-12,1E-12,5E-14,3E-17,1E-14,1E-14,1E-12,5E-15,1E-14,5E-15,5E-14,3E-17,1E-14,1E-14,1E-12,5E-15,1E-14,5E-15,1E-12,5E-15,1E-14,5E-15,1E-12,5E-15,1E-14,5E-15,5E-14,3E-17,1E-14,1E-14,1E-12,5E-15,1E-14,5E-15,5E-14,3E-17,1E-14,1E-14,1E-12,5E-15,1E-14,5E-15,5E-14,3E-17,1E-14,1E-14,1E-12,5E-15,1E-14,5E-15,5E-14,3E-17,1E-14,1E-14,1E-12,5E-15,1E-14,5E-15,5E-14,3E-17,1E-14,1E-14,1E-12,5E-15,1E-14,5E-15,5E-14,3E-17,1E-14,1E-14,1E-12,5E-15,1E-14,5E-15,5E-14,3E-17,1E-14,1E-14,1E-12,5E-15,1E-14,5E-15,1E-12,5E-15,1E-14,5E-15,1E-12,5E-15,1E-14,5E-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in_n_e = [,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
