%,,,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2
,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in_eta_e = [,,%,3.30E-05,8.33E-07,1.67E-05,1.67E-05,1.80E-05,6.50E-07,4.50E-06,3.90E-06,3.30E-05,8.33E-07,1.67E-05,1.67E-05,3.30E-05,8.33E-07,1.67E-05,1.67E-05,3.30E-05,8.33E-07,1.67E-05,1.67E-05,3.30E-05,8.33E-07,1.67E-05,1.67E-05,3.30E-05,8.33E-07,1.67E-05,1.67E-05,3.30E-05,8.33E-07,1.67E-05,1.67E-05,3.30E-05,8.33E-07,1.67E-05,1.67E-05
in_eta_p_e = [,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in_eta_ph = [,,%,2.50E-07,2.50E-09,1.25E-08,1.25E-08,1.50E-08,4.00E-10,1.50E-09,2.50E-09,2.50E-07,2.50E-09,1.25E-08,1.25E-08,2.50E-07,2.50E-09,1.25E-08,1.25E-08,2.50E-07,2.50E-09,1.25E-08,1.25E-08,2.50E-07,2.50E-09,1.25E-08,1.25E-08,2.50E-07,2.50E-09,1.25E-08,1.25E-08,2.50E-07,2.50E-09,1.25E-08,1.25E-08,2.50E-07,2.50E-09,1.25E-08,1.25E-08
in_eta_p_ph = [,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in_Cbs = [,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in_Qth = [,,%,5.00E-14,3.00E-17,1.00E-14,1.00E-14,1.00E-12,5.00E-15,1.00E-14,5.00E-15,5.00E-14,3.00E-17,1.00E-14,1.00E-14,5.00E-14,3.00E-17,1.00E-14,1.00E-14,5.00E-14,3.00E-17,1.00E-14,1.00E-14,5.00E-14,3.00E-17,1.00E-14,1.00E-14,5.00E-14,3.00E-17,1.00E-14,1.00E-14,5.00E-14,3.00E-17,1.00E-14,1.00E-14,5.00E-14,3.00E-17,1.00E-14,1.00E-14
in_n_e = [,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in_N_e = [,,%,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,1.60E+13,0,0,0,1.60E+13,0,0,0,1.60E+13,0,0,0,1.60E+13,0,0,0,1.60E+13,0,0,0,1.60E+13,0,0,0
in_Gamma_ph = [,,%,8.00E+14,0,0,0,8.00E+14,0,0,0,8.00E+14,0,0,0,8.00E+14,0,0,0,8.00E+14,0,0,0,8.00E+14,0,0,0,8.00E+14,0,0,0,8.00E+14,0,0,0,8.00E+14,0,0,0
in_S_Nplus1 = [,[l/s] (H2),%,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0
,[l/s] (CH4),%,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0
,[l/s] (CO),%,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0
,[l/s] (CO2),%,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00
in_g_Nplus1 = [,[torrl/s],%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
