,,,Modulo penning,,,,Neg,,,,Modulo,,,,Neg,,,,Modulo + SVT,,,,Neg,,,,Modulo,,,,Neg,,,,Modulo penning,,,
%,,,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2
in_eta_p_i = [,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in_eta_e = [,,%,0.001774173,6.46E-05,0.000452095,0.000387369,2.00E-04,2.00E-04,2.00E-04,2.00E-04,0.001774173,6.46E-05,0.000452095,0.000387369,2.00E-04,2.00E-04,2.00E-04,2.00E-04,0.001774173,6.46E-05,0.000452095,0.000387369,2.00E-04,2.00E-04,2.00E-04,2.00E-04,0.001774173,6.46E-05,0.000452095,0.000387369,2.00E-04,2.00E-04,2.00E-04,2.00E-04,0.001774173,6.46E-05,0.000452095,0.000387369
in_eta_p_e = [,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in_eta_ph = [,,%,0.00015,0.000004,0.000015,0.000025,2.50E-07,2.50E-07,2.50E-07,2.50E-07,0.00015,0.000004,0.000015,0.000025,2.50E-07,2.50E-07,2.50E-07,2.50E-07,0.00015,0.000004,0.000015,0.000025,2.50E-07,2.50E-07,2.50E-07,2.50E-07,0.00015,0.000004,0.000015,0.000025,2.50E-07,2.50E-07,2.50E-07,2.50E-07,0.00015,0.000004,0.000015,0.000025
in_eta_p_ph = [,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in_Cbs = [,,%,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,0
,,%,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0.00E+00,0,0,0,0,0,0
,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in_Qth = [,,%,7.06E-12,3.53E-15,1.76E-14,1.76E-14,1.00E-15,5.00E-18,5.00E-18,5.00E-18,7.06E-12,3.53E-15,1.76E-14,1.76E-14,1.00E-15,5.00E-18,5.00E-18,5.00E-18,2.13E-11,3.54E-15,1.77E-14,1.77E-14,1.00E-15,5.00E-18,5.00E-18,5.00E-18,7.06E-12,3.53E-15,1.76E-14,1.76E-14,1.00E-15,5.00E-18,5.00E-18,5.00E-18,7.06E-12,3.53E-15,1.76E-14,1.76E-14
in_n_e = [,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in_N_e = [,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in_Gamma_ph = [,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in_S_Nplus1 = [,[l/s] (H2),%,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,[l/s] (CH4),%,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,[l/s] (CO),%,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,[l/s] (CO2),%,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in_g_Nplus1 = [,[torrl/s],%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
