%,,,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2
,,%,0,0,0,0.5,0,0,0,0.0000001,0,0,0,0.5,0,0,0,0.0000001,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0.0000001,0,0,0,0.5,0,0,0,0.0000001,0,0,0,0.0000001,0,0,0,0.0000001,0,0,0,0,0,0,0,0,0,0,0,0
in_alpha_p = [,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in_eta_i = [,,%,0.054181896,0.054181896,0.054181896,0.054181896,0.541818964,0.541818964,0.541818964,0.541818964,0.054181896,0.054181896,0.054181896,0.054181896,0.541818964,0.541818964,0.541818964,0.541818964,0.054181896,0.054181896,0.054181896,0.054181896,0.054181896,0.054181896,0.054181896,0.054181896,0.054181896,0.054181896,0.054181896,0.054181896,0.054181896,0.054181896,0.054181896,0.054181896,0.541818964,0.541818964,0.541818964,0.541818964,0.074205603,0.074205603,1.074205603,0.074205603,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.325091378,0.325091378,0.325091378,0.325091378,0.325091378,0.325091378,0.325091378,0.325091378,0.325091378,0.325091378,0.325091378,0.325091378
,,%,0.003612126,0.00541819,0.007224253,0.010836379,0.036121264,0.054181896,0.072242528,0.108363793,0.003612126,0.00541819,0.007224253,0.010836379,0.036121264,0.054181896,0.072242528,0.108363793,0.003612126,0.00541819,0.007224253,0.010836379,0.003612126,0.00541819,0.007224253,0.010836379,0.003612126,0.00541819,0.007224253,0.010836379,0.003612126,0.00541819,0.007224253,0.010836379,0.036121264,0.054181896,0.072242528,0.108363793,0.00494704,0.015,1.00989408,0.014841121,0.036121264,0.054181896,0.072242528,0.108363793,0.036121264,0.054181896,0.072242528,0.108363793,0.036121264,0.054181896,0.072242528,0.108363793,0.021672759,0.032509138,0.043345517,0.065018276,0.021672759,0.032509138,0.043345517,0.065018276,0.021672759,0.032509138,0.043345517,0.065018276
,,%,0.025284885,0.028897011,0.028897011,0.032509138,0.25284885,0.288970114,0.288970114,0.325091378,0.025284885,0.028897011,0.028897011,0.032509138,0.25284885,0.288970114,0.288970114,0.325091378,0.025284885,0.028897011,0.028897011,0.032509138,0.025284885,0.028897011,0.028897011,0.032509138,0.025284885,0.028897011,0.028897011,0.032509138,0.025284885,0.028897011,0.028897011,0.032509138,0.25284885,0.288970114,0.288970114,0.325091378,0.034629282,0.08,0.039576322,0.044523362,0.25284885,0.288970114,0.288970114,0.325091378,0.25284885,0.288970114,0.288970114,0.325091378,0.25284885,0.288970114,0.288970114,0.325091378,0.15170931,0.173382068,0.173382068,0.195054827,0.15170931,0.173382068,0.173382068,0.195054827,0.15170931,0.173382068,0.173382068,0.195054827
,,%,0.014448506,0.014448506,0.014448506,0.014448506,0.144485057,0.144485057,0.144485057,0.144485057,0.014448506,0.014448506,0.014448506,0.014448506,0.144485057,0.144485057,0.144485057,0.144485057,0.014448506,0.014448506,0.014448506,0.014448506,0.014448506,0.014448506,0.014448506,0.014448506,0.014448506,0.014448506,0.014448506,0.014448506,0.014448506,0.014448506,0.014448506,0.014448506,0.144485057,0.144485057,0.144485057,0.144485057,0.019788161,0.04,1.019788161,0.019788161,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.086691034,0.086691034,0.086691034,0.086691034,0.086691034,0.086691034,0.086691034,0.086691034,0.086691034,0.086691034,0.086691034,0.086691034
in_eta_p_i = [,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
